run_id,config_id,pair_key,carrier_id,base_id,cornea_id,platform_id,optic_state,pupil_mm,distance_peak_retina_d,distance_peak_mtfa,mtfa_at_zero_d,dof50_far_d,dof50_near_d,dof50_width_d,dof50_far_censored,dof50_near_censored,tf_mtfa_mean,peak_search_censored,c40_um,c60_um,hoa_rms_um,analysis_settings_hash,hoa_settings_id,hoa_settings_hash,model_sha256,entity_fingerprint,calibration_strategy,carrier_key,near_add_d,near_add_zeroed_for_solve,carrier_frozen,near_add_restored,post_restore_iol_power_solves,post_restore_refocus_count,post_restore_carrier_optimizations,tf_mtfa_mean_original_window
supplemental-2-8164d718635644c8aa3ce34f5e09a59e,S2_R6_LB_AL2395_C0_HOA_MONO_EPD5,S2_R6_LB_AL2395_C0_HOA_EPD5,S2_R6_LB_AL2395_C0_HOA,LB_AL2395,C0,HOA,MONO,5.0,-1.0,0.13783072378939593,0.03825961410570509,-0.6853539713591333,-2.493417131251351,1.8080631598922179,False,False,0.07252287072120832,True,-0.12936873619879827,0.05807935951404058,0.14199104526292405,add896f3c689e1705e437f6ac02a7b8e882dfc6838f5e480f00475129ddd155e,TASK009_MFE_ZERN_HOA_555_v1,7c9a2d3a7685a6df14be4d9382e7c71a6d92ae8dfa76fb5502ecfd820974fcc2,6e06bf09bab674ad4cfe2d27755ac679487e9ce09ca118473ca73069b111b2e1,cf3adb13b0e214ab2722917e20d574ef9506fe1488aabc2ad197a2261d522ad4,distance_component_anchored,S2_R6_LB_AL2395_C0_HOA,1.75,True,True,True,0,0,0,0.10593896113116723
supplemental-2-8164d718635644c8aa3ce34f5e09a59e,S2_R6_LB_AL2395_C0_HOA_EDOF_EPD5,S2_R6_LB_AL2395_C0_HOA_EPD5,S2_R6_LB_AL2395_C0_HOA,LB_AL2395,C0,HOA,EDOF,5.0,-1.0,0.10669094441727012,0.040966036109424946,-0.5367093782905544,-2.4431894332041852,1.9064800549136307,False,False,0.05868922487819345,True,-0.12962159661056852,0.06630315000091254,0.145731480223074,add896f3c689e1705e437f6ac02a7b8e882dfc6838f5e480f00475129ddd155e,TASK009_MFE_ZERN_HOA_555_v1,7c9a2d3a7685a6df14be4d9382e7c71a6d92ae8dfa76fb5502ecfd820974fcc2,9677dd9c0be0e098621c475ea3be9c604a1b082b3abe3257a19fd01580639a98,70b11ddaaa88ade5ed2d4e3c6fd27828fc742121384e0b7e287fdb0f0f1cccae,distance_component_anchored,S2_R6_LB_AL2395_C0_HOA,1.75,True,True,True,0,0,0,0.080245681815348496
supplemental-2-8164d718635644c8aa3ce34f5e09a59e,S2_R6_ATC_M3_AL24477_C0_WFS_MONO_EPD3,S2_R6_ATC_M3_AL24477_C0_WFS_EPD3,S2_R6_ATC_M3_AL24477_C0_WFS,ATC_M3_AL24477,C0,WFS,MONO,3.0,-1.0,0.0882312125648558,0.042518862529140035,-0.09906879306241885,-3.777049408733783,3.6779806156713644,False,False,0.10399247352641633,True,0.01901006683879584,-0.0007887751191047057,0.019028012671795852,add896f3c689e1705e437f6ac02a7b8e882dfc6838f5e480f00475129ddd155e,TASK009_MFE_ZERN_HOA_555_v1,7c9a2d3a7685a6df14be4d9382e7c71a6d92ae8dfa76fb5502ecfd820974fcc2,f87f1c09a4c45b514c7259e9e0730d9ab695d5cfc20863ec1200920b789c32ad,f54b36c1978a4d56d4f4bfe136168a21d6bac536845cecb9dd9b087c6c2cf1ca,distance_component_anchored,S2_R6_ATC_M3_AL24477_C0_WFS,1.75,True,True,True,0,0,0,0.14944477232475248
supplemental-2-8164d718635644c8aa3ce34f5e09a59e,S2_R6_ATC_M3_AL24477_C0_WFS_EDOF_EPD3,S2_R6_ATC_M3_AL24477_C0_WFS_EPD3,S2_R6_ATC_M3_AL24477_C0_WFS,ATC_M3_AL24477,C0,WFS,EDOF,3.0,-1.0,0.12437083389251836,0.050411851240280914,-0.3386195979007908,-3.374374282268524,3.0357546843677334,False,False,0.10315055006476537,True,0.04174664868560426,-0.024627329710651617,0.048478377851486974,add896f3c689e1705e437f6ac02a7b8e882dfc6838f5e480f00475129ddd155e,TASK009_MFE_ZERN_HOA_555_v1,7c9a2d3a7685a6df14be4d9382e7c71a6d92ae8dfa76fb5502ecfd820974fcc2,788bfa7f882f98d3651b78abdcd0d36897091643e2c8a604a8dc3c91a133f62f,639eb3c5a212dd6bdcc51cdb0a9898ff18ad981cc3b45b446662297c86a2274b,distance_component_anchored,S2_R6_ATC_M3_AL24477_C0_WFS,1.75,True,True,True,0,0,0,0.14536318410830459
supplemental-2-8164d718635644c8aa3ce34f5e09a59e,S2_R6_ATC_M3_AL24477_C0_WFS_MONO_EPD5,S2_R6_ATC_M3_AL24477_C0_WFS_EPD5,S2_R6_ATC_M3_AL24477_C0_WFS,ATC_M3_AL24477,C0,WFS,MONO,5.0,-0.625,0.23770418299197005,0.058951043146828544,-0.4291948722617926,-0.8272798227076177,0.3980849504458251,False,False,0.07056272386576984,False,-0.3096262159163132,0.06061904257118587,0.3155860264578177,add896f3c689e1705e437f6ac02a7b8e882dfc6838f5e480f00475129ddd155e,TASK009_MFE_ZERN_HOA_555_v1,7c9a2d3a7685a6df14be4d9382e7c71a6d92ae8dfa76fb5502ecfd820974fcc2,72a2615dfa18515407f9d7ccbfec24a598b4cf2efdc652cd79d3cb672ef8dc90,f54b36c1978a4d56d4f4bfe136168a21d6bac536845cecb9dd9b087c6c2cf1ca,distance_component_anchored,S2_R6_ATC_M3_AL24477_C0_WFS,1.75,True,True,True,0,0,0,0.10349782780679262
supplemental-2-8164d718635644c8aa3ce34f5e09a59e,S2_R6_ATC_M3_AL24477_C0_WFS_EDOF_EPD5,S2_R6_ATC_M3_AL24477_C0_WFS_EPD5,S2_R6_ATC_M3_AL24477_C0_WFS,ATC_M3_AL24477,C0,WFS,EDOF,5.0,-0.625,0.2570715985833686,0.05411996489141392,-0.4409517933221083,-0.8176125641008145,0.3766607707787062,False,False,0.06998127180660316,False,-0.31048176275731915,0.05549181081768601,0.3154971166975997,add896f3c689e1705e437f6ac02a7b8e882dfc6838f5e480f00475129ddd155e,TASK009_MFE_ZERN_HOA_555_v1,7c9a2d3a7685a6df14be4d9382e7c71a6d92ae8dfa76fb5502ecfd820974fcc2,9a0948100ed997e7344570bf8a69597747a6d343e132714c908e2e757cf5f3a7,639eb3c5a212dd6bdcc51cdb0a9898ff18ad981cc3b45b446662297c86a2274b,distance_component_anchored,S2_R6_ATC_M3_AL24477_C0_WFS,1.75,True,True,True,0,0,0,0.10160320575659942
supplemental-2-8164d718635644c8aa3ce34f5e09a59e,S2_R6_ATC_M3_AL24477_C0_RAD_MONO_EPD3,S2_R6_ATC_M3_AL24477_C0_RAD_EPD3,S2_R6_ATC_M3_AL24477_C0_RAD,ATC_M3_AL24477,C0,RAD,MONO,3.0,-1.0,0.08963972161025442,0.04356709445336013,-0.06756752796589346,-3.6850766502179924,3.6175091222520988,False,False,0.10420286130739388,True,0.010643936456995079,-0.0005822187276698176,0.010662725324420091,add896f3c689e1705e437f6ac02a7b8e882dfc6838f5e480f00475129ddd155e,TASK009_MFE_ZERN_HOA_555_v1,7c9a2d3a7685a6df14be4d9382e7c71a6d92ae8dfa76fb5502ecfd820974fcc2,0621e5ade1844335653f01793a131c1e0de069d2e5b1a3d71a7b66ac10ce09f0,1028b97e71080aa6440e0c051be52569a1a5d43d2af2a25486b1f51e22c249d8,distance_component_anchored,S2_R6_ATC_M3_AL24477_C0_RAD,1.75,True,True,True,0,0,0,0.15059865370383438
supplemental-2-8164d718635644c8aa3ce34f5e09a59e,S2_R6_ATC_M3_AL24477_C0_RAD_EDOF_EPD3,S2_R6_ATC_M3_AL24477_C0_RAD_EPD3,S2_R6_ATC_M3_AL24477_C0_RAD,ATC_M3_AL24477,C0,RAD,EDOF,3.0,-0.875,0.2782253669049987,0.06340478138960047,-0.6290659368517935,-1.739647657675112,1.1105817208233186,False,False,0.08798499221268587,False,-0.005075885049368638,-0.21353994962474845,0.21382939655958624,add896f3c689e1705e437f6ac02a7b8e882dfc6838f5e480f00475129ddd155e,TASK009_MFE_ZERN_HOA_555_v1,7c9a2d3a7685a6df14be4d9382e7c71a6d92ae8dfa76fb5502ecfd820974fcc2,4e7744f84609cb9846c6af2af32e603f3b822ada7faa1bbb80380034c8fb4db4,4fefc9cf08478fa04981f57fec9550c10072919172aebe71a6aba944917dab32,distance_component_anchored,S2_R6_ATC_M3_AL24477_C0_RAD,1.75,True,True,True,0,0,0,0.12289692639565408
supplemental-2-8164d718635644c8aa3ce34f5e09a59e,S2_R6_ATC_M3_AL24477_C0_RAD_MONO_EPD5,S2_R6_ATC_M3_AL24477_C0_RAD_EPD5,S2_R6_ATC_M3_AL24477_C0_RAD,ATC_M3_AL24477,C0,RAD,MONO,5.0,-0.375,0.21478142209790196,0.06683601436064118,-0.25412598797888486,-0.6242201687955701,0.3700941808166852,False,False,0.06954069010943885,False,-0.36081134536178394,0.06424182162259542,0.36655537254883114,add896f3c689e1705e437f6ac02a7b8e882dfc6838f5e480f00475129ddd155e,TASK009_MFE_ZERN_HOA_555_v1,7c9a2d3a7685a6df14be4d9382e7c71a6d92ae8dfa76fb5502ecfd820974fcc2,73ffdc5f3e9511cc99e5304739a1ba502b6486eb4d9dd30e0fe3179ceb60bf54,1028b97e71080aa6440e0c051be52569a1a5d43d2af2a25486b1f51e22c249d8,distance_component_anchored,S2_R6_ATC_M3_AL24477_C0_RAD,1.75,True,True,True,0,0,0,0.10148223734947295
supplemental-2-8164d718635644c8aa3ce34f5e09a59e,S2_R6_ATC_M3_AL24477_C0_RAD_EDOF_EPD5,S2_R6_ATC_M3_AL24477_C0_RAD_EPD5,S2_R6_ATC_M3_AL24477_C0_RAD,ATC_M3_AL24477,C0,RAD,EDOF,5.0,-0.375,0.246224289598699,0.0797894906102116,-0.2598858702347558,-0.7053000840232618,0.44541421378850604,False,False,0.0643829255783989,False,-0.49967831093962367,0.16589113362616323,0.5265012831184614,add896f3c689e1705e437f6ac02a7b8e882dfc6838f5e480f00475129ddd155e,TASK009_MFE_ZERN_HOA_555_v1,7c9a2d3a7685a6df14be4d9382e7c71a6d92ae8dfa76fb5502ecfd820974fcc2,91626c7ea12ce262dbf395ca514bfe70960d9c5c2c3f9b7eedf00b2d84665827,4fefc9cf08478fa04981f57fec9550c10072919172aebe71a6aba944917dab32,distance_component_anchored,S2_R6_ATC_M3_AL24477_C0_RAD,1.75,True,True,True,0,0,0,0.091978127386727795
supplemental-2-8164d718635644c8aa3ce34f5e09a59e,S2_R6_ATC_M3_AL24477_C0_HOA_MONO_EPD3,S2_R6_ATC_M3_AL24477_C0_HOA_EPD3,S2_R6_ATC_M3_AL24477_C0_HOA,ATC_M3_AL24477,C0,HOA,MONO,3.0,-1.0,0.09754687800045808,0.04011129337637084,-0.3327317292758009,-3.7901851945275125,3.4574534652517115,False,False,0.10494813584536711,True,0.03948739699610004,-0.000926863912115251,0.039499018295663255,add896f3c689e1705e437f6ac02a7b8e882dfc6838f5e480f00475129ddd155e,TASK009_MFE_ZERN_HOA_555_v1,7c9a2d3a7685a6df14be4d9382e7c71a6d92ae8dfa76fb5502ecfd820974fcc2,aa0a9f575bf737efe9ee7af59e63aa129ec5df96d39e193bfa69dfcb53e25fc7,8196ace35c950b91b5984ae8394e2fd897a78914b37c0237ba69a0f0f56f894e,distance_component_anchored,S2_R6_ATC_M3_AL24477_C0_HOA,1.75,True,True,True,0,0,0,0.14857072678006986
supplemental-2-8164d718635644c8aa3ce34f5e09a59e,S2_R6_ATC_M3_AL24477_C0_HOA_EDOF_EPD3,S2_R6_ATC_M3_AL24477_C0_HOA_EPD3,S2_R6_ATC_M3_AL24477_C0_HOA,ATC_M3_AL24477,C0,HOA,EDOF,3.0,1.0,0.064299151300948,0.047142320777403816,1.0,-4.62683773142514,5.62683773142514,True,False,0.0671568217366403,True,0.0029479097017298572,0.1025691537080987,0.1031301249916532,add896f3c689e1705e437f6ac02a7b8e882dfc6838f5e480f00475129ddd155e,TASK009_MFE_ZERN_HOA_555_v1,7c9a2d3a7685a6df14be4d9382e7c71a6d92ae8dfa76fb5502ecfd820974fcc2,c2901793e91752269e96fd841181100a67b7337ba44ca3e82cc9fcd7e72cc48d,ae99f6169f20bb43547c3e09edf4f4661f8cf89fd576c8f6cfd2cb968cb3c9d6,distance_component_anchored,S2_R6_ATC_M3_AL24477_C0_HOA,1.75,True,True,True,0,0,0,0.081286603589769954
supplemental-2-8164d718635644c8aa3ce34f5e09a59e,S2_R6_ATC_M3_AL24477_C0_HOA_MONO_EPD5,S2_R6_ATC_M3_AL24477_C0_HOA_EPD5,S2_R6_ATC_M3_AL24477_C0_HOA,ATC_M3_AL24477,C0,HOA,MONO,5.0,-1.0,0.16332273585651266,0.04055758687742906,-0.7113673922314474,-2.328065452064272,1.6166980598328244,False,False,0.07181660828753791,True,-0.16040587505599296,0.05713890264304217,0.17043124485446853,add896f3c689e1705e437f6ac02a7b8e882dfc6838f5e480f00475129ddd155e,TASK009_MFE_ZERN_HOA_555_v1,7c9a2d3a7685a6df14be4d9382e7c71a6d92ae8dfa76fb5502ecfd820974fcc2,4e70a00296339949c93ed9559ef3e7ec042dbe39d7656009b519313dae9bcec8,8196ace35c950b91b5984ae8394e2fd897a78914b37c0237ba69a0f0f56f894e,distance_component_anchored,S2_R6_ATC_M3_AL24477_C0_HOA,1.75,True,True,True,0,0,0,0.10494661366564907
supplemental-2-8164d718635644c8aa3ce34f5e09a59e,S2_R6_ATC_M3_AL24477_C0_HOA_EDOF_EPD5,S2_R6_ATC_M3_AL24477_C0_HOA_EPD5,S2_R6_ATC_M3_AL24477_C0_HOA,ATC_M3_AL24477,C0,HOA,EDOF,5.0,-1.0,0.12789626977460164,0.040991839208548604,-0.6610053857709112,-2.2511121100641027,1.5901067242931917,False,False,0.058189476418465114,True,-0.16049343786746564,0.06506668993469873,0.17329727740072318,add896f3c689e1705e437f6ac02a7b8e882dfc6838f5e480f00475129ddd155e,TASK009_MFE_ZERN_HOA_555_v1,7c9a2d3a7685a6df14be4d9382e7c71a6d92ae8dfa76fb5502ecfd820974fcc2,9ac2ce6690b4440383f6bc5314dc35e50c2cd2aedab09b41b51eee13fef0897a,ae99f6169f20bb43547c3e09edf4f4661f8cf89fd576c8f6cfd2cb968cb3c9d6,distance_component_anchored,S2_R6_ATC_M3_AL24477_C0_HOA,1.75,True,True,True,0,0,0,0.079720801513531697
