基础模型眼,术后角膜光学表型,人工晶状体延焦机制,瞳孔,相对未治疗参照的DOF50净调制_D,DOF50净调制状态,DOF50净调制下界_D,DOF50净调制上界_D,相对未治疗参照的0D处MTFa净调制,相对未治疗参照的全贯焦平均MTFa净调制,内部base_id,内部cornea_id,内部platform_id
Atchison −3 D 近视模型眼（眼轴 24.48 mm）,近视术后准单焦角膜,高阶像差调制型延焦,5 mm 瞳孔,0.0415419163812376,精确值,0.0415419163812376,0.0415419163812376,-0.0001407746060284,0.0035806069913963,ATC_M3_AL24477,A0V12,HOA
Atchison −3 D 近视模型眼（眼轴 24.48 mm）,连续非球面角膜延焦原型,波前塑形型延焦,3 mm 瞳孔,0.2601930203196843,下界,0.2601930203196843,,-0.0416570348977775,-0.0038574445486141,ATC_M3_AL24477,B0V12,WFS
Atchison −3 D 近视模型眼（眼轴 24.48 mm）,连续非球面角膜延焦原型,波前塑形型延焦,5 mm 瞳孔,0.0540532736604777,精确值,0.0540532736604777,0.0540532736604777,-0.002530477244084,-0.0010538620094402,ATC_M3_AL24477,B0V12,WFS
Atchison −3 D 近视模型眼（眼轴 24.48 mm）,连续非球面角膜延焦原型,径向屈光力调制型延焦,3 mm 瞳孔,-0.0178373973800456,精确值,-0.0178373973800456,-0.0178373973800456,0.0195329381206119,-0.0052680683847135,ATC_M3_AL24477,B0V12,RAD
Atchison −3 D 近视模型眼（眼轴 24.48 mm）,连续非球面角膜延焦原型,径向屈光力调制型延焦,5 mm 瞳孔,0.307038311788857,精确值,0.307038311788857,0.307038311788857,-0.0774840809814855,-0.0031492690385854,ATC_M3_AL24477,B0V12,RAD
Atchison −3 D 近视模型眼（眼轴 24.48 mm）,连续非球面角膜延焦原型,高阶像差调制型延焦,3 mm 瞳孔,0.0097340251070339,精确值,0.0097340251070339,0.0097340251070339,0.0495049441722917,0.0027748061092569,ATC_M3_AL24477,B0V12,HOA
Atchison −3 D 近视模型眼（眼轴 24.48 mm）,连续非球面角膜延焦原型,高阶像差调制型延焦,5 mm 瞳孔,0.0117601288178723,精确值,0.0117601288178723,0.0117601288178723,0.0280048031624207,0.0048336305204395,ATC_M3_AL24477,B0V12,HOA
Atchison −3 D 近视模型眼（眼轴 24.48 mm）,中央近用径向多焦角膜,波前塑形型延焦,3 mm 瞳孔,0.0036613267989206,精确值,0.0036613267989206,0.0036613267989206,-0.0008490867349532,5.663851111709084e-05,ATC_M3_AL24477,C0V12,WFS
Atchison −3 D 近视模型眼（眼轴 24.48 mm）,中央近用径向多焦角膜,波前塑形型延焦,5 mm 瞳孔,0.1363095979993478,精确值,0.1363095979993478,0.1363095979993478,-0.0005822313167645,0.0018884428942452,ATC_M3_AL24477,C0V12,WFS
Atchison −3 D 近视模型眼（眼轴 24.48 mm）,中央近用径向多焦角膜,径向屈光力调制型延焦,3 mm 瞳孔,-0.0541824418128983,精确值,-0.0541824418128983,-0.0541824418128983,0.0029060920664472,-0.0006723434015869,ATC_M3_AL24477,C0V12,RAD
Atchison −3 D 近视模型眼（眼轴 24.48 mm）,中央近用径向多焦角膜,径向屈光力调制型延焦,5 mm 瞳孔,0.4709859717096194,下界,0.4709859717096194,,-0.1611312327716247,0.0041308070976679,ATC_M3_AL24477,C0V12,RAD
Atchison −3 D 近视模型眼（眼轴 24.48 mm）,中央近用径向多焦角膜,高阶像差调制型延焦,3 mm 瞳孔,-0.0489185159988483,精确值,-0.0489185159988483,-0.0489185159988483,0.0045215446723653,0.0007785664750469,ATC_M3_AL24477,C0V12,HOA
Atchison −3 D 近视模型眼（眼轴 24.48 mm）,中央近用径向多焦角膜,高阶像差调制型延焦,5 mm 瞳孔,0.689469881381208,下界,0.689469881381208,,-0.0442487683636094,-0.0015817374021534,ATC_M3_AL24477,C0V12,HOA
