基础模型眼,角膜光学表型,人工晶状体延焦机制,瞳孔,DOF50改变量_D,DOF50状态,0D处MTFa改变量,全贯焦平均MTFa改变量,距离峰值MTFa改变量,C4⁰改变量_μm,C6⁰改变量_μm,高阶像差RMS改变量_μm,距离峰值搜索窗状态,内部base_id,内部cornea_id,内部platform_id,内部pair_key
Liou–Brennan 模型眼（眼轴 23.95 mm）,连续非球面角膜延焦原型,高阶像差调制型延焦,3 mm 瞳孔,0.7346619133253438,精确值,-0.4308597633811254,-0.0787692369106363,-0.3711649701018604,-0.066987154246418,0.1713350787427237,0.1331678316315333,未删失,LB_AL2395,B0V12,HOA,CAR_LB_AL2395_B0V12_HOA_EPD3
Liou–Brennan 模型眼（眼轴 23.95 mm）,连续非球面角膜延焦原型,高阶像差调制型延焦,5 mm 瞳孔,-0.2292872426012735,精确值,-0.1394594587131937,-0.0220214978432571,-0.0615898345494927,-0.0023272900407084,0.0152819703805051,-0.0018689374929447,受搜索窗边界限制,LB_AL2395,B0V12,HOA,CAR_LB_AL2395_B0V12_HOA_EPD5
Liou–Brennan 模型眼（眼轴 23.95 mm）,中央近用径向多焦角膜,波前塑形型延焦,3 mm 瞳孔,0.1866766897371364,精确值,-0.1643274441582897,-0.0136164368063036,-0.1643274441582897,0.0326833645164321,-0.0166751459412543,0.0356686101096769,未删失,LB_AL2395,C0V12,WFS,CAR_LB_AL2395_C0V12_WFS_EPD3
Liou–Brennan 模型眼（眼轴 23.95 mm）,中央近用径向多焦角膜,波前塑形型延焦,5 mm 瞳孔,0.084814239228681,精确值,-0.0771246823614359,-0.0031688466456516,-0.0771246823614359,0.0022865260613478,-0.009801984003854,-0.0004237179513411,未删失,LB_AL2395,C0V12,WFS,CAR_LB_AL2395_C0V12_WFS_EPD5
Liou–Brennan 模型眼（眼轴 23.95 mm）,中央近用径向多焦角膜,径向屈光力调制型延焦,3 mm 瞳孔,0.1959723579447436,精确值,-0.2866436182995553,-0.0150543647205778,-0.2866436182995553,0.0109918247612873,-0.0899812703643327,0.0857850408260286,未删失,LB_AL2395,C0V12,RAD,CAR_LB_AL2395_C0V12_RAD_EPD3
Liou–Brennan 模型眼（眼轴 23.95 mm）,中央近用径向多焦角膜,径向屈光力调制型延焦,5 mm 瞳孔,0.302869338290417,下界,-0.1474750553072589,-0.0038901164263761,-0.1474750553072589,-0.1296472443562289,0.0622707671036675,0.1269614613401218,未删失,LB_AL2395,C0V12,RAD,CAR_LB_AL2395_C0V12_RAD_EPD5
Liou–Brennan 模型眼（眼轴 23.95 mm）,中央近用径向多焦角膜,高阶像差调制型延焦,3 mm 瞳孔,0.6921668958311665,精确值,-0.4803412962759928,-0.0812142356742838,-0.4247132929270181,-0.0697810725545134,0.1757307559123074,0.1584343178994884,未删失,LB_AL2395,C0V12,HOA,CAR_LB_AL2395_C0V12_HOA_EPD3
Liou–Brennan 模型眼（眼轴 23.95 mm）,中央近用径向多焦角膜,高阶像差调制型延焦,5 mm 瞳孔,-0.0421458667911219,精确值,-0.2046167947875468,-0.0297713908313442,-0.1344109336836419,-0.0025516825431965,0.0160819647003452,-0.0010164269303682,未删失,LB_AL2395,C0V12,HOA,CAR_LB_AL2395_C0V12_HOA_EPD5
Atchison −3 D 近视模型眼（眼轴 24.48 mm）,未治疗参照角膜,波前塑形型延焦,3 mm 瞳孔,0.1622551421381196,精确值,-0.157649644313868,-0.0128719648686278,-0.157649644313868,0.0330317622159963,-0.0161750497970709,0.0359760345912898,未删失,ATC_M3_AL24477,N0,WFS,CAR_ATC_M3_AL24477_N0_WFS_EPD3
Atchison −3 D 近视模型眼（眼轴 24.48 mm）,未治疗参照角膜,波前塑形型延焦,5 mm 瞳孔,-0.0792946712503532,精确值,-0.0719343214731958,-0.0046776809491848,0.0080405684605378,0.0024495781858459,-0.010027073811575,0.0025040186933518,未删失,ATC_M3_AL24477,N0,WFS,CAR_ATC_M3_AL24477_N0_WFS_EPD5
Atchison −3 D 近视模型眼（眼轴 24.48 mm）,未治疗参照角膜,径向屈光力调制型延焦,3 mm 瞳孔,0.2338074927714613,精确值,-0.2896040910689624,-0.0136703869403928,-0.2896040910689624,0.01467301413279,-0.0889442196595904,0.0876473047067751,未删失,ATC_M3_AL24477,N0,RAD,CAR_ATC_M3_AL24477_N0_RAD_EPD3
