platform_id,label,carrier_id,actual_power_d,measured_piston_um,measured_global_defocus_d,standard_piston_um,standard_global_defocus_d,max_abs_opd_error_um,distance_shift_d,mono_dof50_d,edof_dof50_d,numerical_hard_gate_passed,mechanism_review_pending_web
WFS,low,CAR_ATC_M3_AL24477_C0_WFS,21.05255871628924,-0.0018333374074396076,0.003417026604215318,6.226469960727473e-05,-5.1126850898836164e-05,0.010189566385983784,0.0,1.1890416105409967,1.2897370694335533,True,True
WFS,median,CAR_ATC_M3_AL24477_A0_WFS,23.514173331162155,-0.0018429686619892774,0.0034006764493443547,6.226469960721652e-05,-5.112685089875046e-05,0.01014046414063724,0.0,1.1974520821751868,1.31190505587103,True,True
WFS,high,CAR_LB_AL2395_A0_WFS,25.47664933274738,-0.0018432813481105853,0.0034001367537744996,6.226469960720362e-05,-5.1126850898834e-05,0.010138848035309456,0.0,1.207123130386927,1.3330409438517639,True,True
RAD,low,CAR_ATC_M3_AL24477_C0_RAD,21.177612325137524,-0.0427245553618856,0.09625386477629158,0.0013299395930852081,-0.0011894661715127785,0.2882992981487453,0.0,1.1895393596518504,2.4444137175548564,False,True
RAD,median,CAR_ATC_M3_AL24477_B0_RAD,23.396163263289615,-0.043420569920315656,0.09541003343876343,0.0014076992926900672,-0.0012605615584826908,0.28558484239810555,0.0,1.221537561602064,2.4571040055947835,False,True
RAD,high,CAR_LB_AL2395_A0_RAD,25.587058690007545,-0.04352415517707465,0.0952746531554709,0.0014916597425091635,-0.0013373262669419963,0.2851567539450174,0.0,1.203743363788535,2.4485973665705827,False,True
HOA,low,CAR_ATC_M3_AL24477_C0_HOA,20.814928860453236,0.0007016336827245488,-0.0008674148196218854,0.000290055021211552,-0.0001144455396925567,0.0022122494435395292,-0.5,1.213741214222548,2.0720843917301632,True,True
HOA,median,CAR_ATC_M3_AL24477_B0_HOA,23.04115487685293,0.0007035086808300505,-0.0008646142249905813,0.00029005502121161547,-0.00011444553969262808,0.0022036366735107473,-0.5,1.279898827844214,2.0701484590349497,True,True
HOA,high,CAR_LB_AL2395_A0_HOA,25.25866463479957,0.0007037849296110964,-0.000863757886492828,0.000290055021211683,-0.00011444553969265014,0.0022012696765766806,-0.5,1.2401556894891952,2.0310956492661623,True,True
