model_role,run_id,config_id,pair_key,carrier_id,base_id,cornea_id,platform_id,optic_state,pupil_mm,relative_path,sha256
native_reference_cornea,task013-183dcffcd1da4f1cb1a219d9eedb39db,,,,,N0,,,,models/task013_native_reference/cornea/N0_REFERENCE_CORNEA.zmx,1345089f8c714a1f887b0076cee5a108b0bb7f5d90d84c44f7cb572b61ac9cf2
physical_carrier,task013-183dcffcd1da4f1cb1a219d9eedb39db,,,CAR_LB_AL2395_N0_WFS,LB_AL2395,N0,WFS,,,models/task013_native_reference/carriers/CAR_LB_AL2395_N0_WFS.zmx,b897e7181958846df2d7e99e5adf61ec845005064c819971494660b17f4d45c2
physical_carrier,task013-183dcffcd1da4f1cb1a219d9eedb39db,,,CAR_LB_AL2395_N0_RAD,LB_AL2395,N0,RAD,,,models/task013_native_reference/carriers/CAR_LB_AL2395_N0_RAD.zmx,3d74c42d0df86a072b8de2ae14fcf76bd7067f252c04a7e967e999a33b371f72
physical_carrier,task013-183dcffcd1da4f1cb1a219d9eedb39db,,,CAR_LB_AL2395_N0_HOA,LB_AL2395,N0,HOA,,,models/task013_native_reference/carriers/CAR_LB_AL2395_N0_HOA.zmx,df16846f01caf1976c9c763c865262be4219073f70a47fc800f624b79d61db10
physical_carrier,task013-183dcffcd1da4f1cb1a219d9eedb39db,,,CAR_ATC_M3_AL24477_N0_WFS,ATC_M3_AL24477,N0,WFS,,,models/task013_native_reference/carriers/CAR_ATC_M3_AL24477_N0_WFS.zmx,f8b776ede89601837d45704004e50d78d90d4f7824e2c3c83850f0eaa6aec773
physical_carrier,task013-183dcffcd1da4f1cb1a219d9eedb39db,,,CAR_ATC_M3_AL24477_N0_RAD,ATC_M3_AL24477,N0,RAD,,,models/task013_native_reference/carriers/CAR_ATC_M3_AL24477_N0_RAD.zmx,f51598e1fb3cc6445a44e725a5429db9fa845bcc877866ae2cb74f9d8d72d6ed
physical_carrier,task013-183dcffcd1da4f1cb1a219d9eedb39db,,,CAR_ATC_M3_AL24477_N0_HOA,ATC_M3_AL24477,N0,HOA,,,models/task013_native_reference/carriers/CAR_ATC_M3_AL24477_N0_HOA.zmx,5fd0b44d43314b5c189f3d8469dd6cac6c7fcd0edad39bd33674a2a11062b0d2
pair_mono_reference,task013-183dcffcd1da4f1cb1a219d9eedb39db,CFG_ATC_M3_AL24477_N0_HOA_MONO_EPD3,CAR_ATC_M3_AL24477_N0_HOA_EPD3,CAR_ATC_M3_AL24477_N0_HOA,ATC_M3_AL24477,N0,HOA,MONO,3.0,models/task013_native_reference/runs/task013-183dcffcd1da4f1cb1a219d9eedb39db/pair_references/CAR_ATC_M3_AL24477_N0_HOA_EPD3.zmx,55e62a7904bdd127599c92271b578ec89aef9560959ffde45498da6347fc38da
pair_mono_reference,task013-183dcffcd1da4f1cb1a219d9eedb39db,CFG_ATC_M3_AL24477_N0_HOA_MONO_EPD5,CAR_ATC_M3_AL24477_N0_HOA_EPD5,CAR_ATC_M3_AL24477_N0_HOA,ATC_M3_AL24477,N0,HOA,MONO,5.0,models/task013_native_reference/runs/task013-183dcffcd1da4f1cb1a219d9eedb39db/pair_references/CAR_ATC_M3_AL24477_N0_HOA_EPD5.zmx,c97a5e2020086de264787a29abbc1eeceff3e111506f6ed8f9cc739513f049c1
pair_mono_reference,task013-183dcffcd1da4f1cb1a219d9eedb39db,CFG_ATC_M3_AL24477_N0_RAD_MONO_EPD3,CAR_ATC_M3_AL24477_N0_RAD_EPD3,CAR_ATC_M3_AL24477_N0_RAD,ATC_M3_AL24477,N0,RAD,MONO,3.0,models/task013_native_reference/runs/task013-183dcffcd1da4f1cb1a219d9eedb39db/pair_references/CAR_ATC_M3_AL24477_N0_RAD_EPD3.zmx,51888e83bc5f10b946008fe1eaf5c46ac7b7322160b1b74d82961435a5386f6e
