model_role,run_id,config_id,pair_key,carrier_id,base_id,cornea_id,platform_id,optic_state,pupil_mm,relative_path,sha256
physical_carrier,task014-e270a185207543149c21da83202c4b73,,,CAR_ATC_M3_AL24477_A0V12_RAD,ATC_M3_AL24477,A0V12,RAD,,,models/task014_vertex_corrected/carriers/CAR_ATC_M3_AL24477_A0V12_RAD.zmx,2bb5ddde749b07e985f051d55f811424e503117f4efdeed620f7fe2049d989ea
physical_carrier,task014-e270a185207543149c21da83202c4b73,,,CAR_ATC_M3_AL24477_A0V12_HOA,ATC_M3_AL24477,A0V12,HOA,,,models/task014_vertex_corrected/carriers/CAR_ATC_M3_AL24477_A0V12_HOA.zmx,7c805de9986c6c4125e98940b55a190ede8636223093df5571e3818032d359eb
physical_carrier,task014-e270a185207543149c21da83202c4b73,,,CAR_ATC_M3_AL24477_B0V12_WFS,ATC_M3_AL24477,B0V12,WFS,,,models/task014_vertex_corrected/carriers/CAR_ATC_M3_AL24477_B0V12_WFS.zmx,63b1249f0f0f995066d08b06ad319f8f3a9558b003d078da3f6d4fa91fb9f7bc
physical_carrier,task014-e270a185207543149c21da83202c4b73,,,CAR_ATC_M3_AL24477_B0V12_RAD,ATC_M3_AL24477,B0V12,RAD,,,models/task014_vertex_corrected/carriers/CAR_ATC_M3_AL24477_B0V12_RAD.zmx,8606990427a07614ee408bfb39ddecd9e5701b63fb7a07438ebc89ecadf8f2b6
physical_carrier,task014-e270a185207543149c21da83202c4b73,,,CAR_ATC_M3_AL24477_B0V12_HOA,ATC_M3_AL24477,B0V12,HOA,,,models/task014_vertex_corrected/carriers/CAR_ATC_M3_AL24477_B0V12_HOA.zmx,9861ef55e9f3cf9977ea7dc99db44b8624debf0133ff93ebfdf5d13b8c404eed
physical_carrier,task014-e270a185207543149c21da83202c4b73,,,CAR_ATC_M3_AL24477_C0V12_WFS,ATC_M3_AL24477,C0V12,WFS,,,models/task014_vertex_corrected/carriers/CAR_ATC_M3_AL24477_C0V12_WFS.zmx,d7c206012bd2a60058bc15b55ebcc255437aece5192c25ad1d5614eef2078f48
physical_carrier,task014-e270a185207543149c21da83202c4b73,,,CAR_ATC_M3_AL24477_C0V12_RAD,ATC_M3_AL24477,C0V12,RAD,,,models/task014_vertex_corrected/carriers/CAR_ATC_M3_AL24477_C0V12_RAD.zmx,90314841bdc554d25fccc89136cfbdd59f3203a3f109c3924ad315f3a5b1ddcb
physical_carrier,task014-e270a185207543149c21da83202c4b73,,,CAR_ATC_M3_AL24477_C0V12_HOA,ATC_M3_AL24477,C0V12,HOA,,,models/task014_vertex_corrected/carriers/CAR_ATC_M3_AL24477_C0V12_HOA.zmx,323774f3a12451b7a3ec6a678777e49509fb3fabd9f7888b169aacbc4e83a4a3
pair_mono_reference,task014-e270a185207543149c21da83202c4b73,CFG_ATC_M3_AL24477_A0V12_HOA_MONO_EPD3,CAR_ATC_M3_AL24477_A0V12_HOA_EPD3,CAR_ATC_M3_AL24477_A0V12_HOA,ATC_M3_AL24477,A0V12,HOA,MONO,3.0,models/task014_vertex_corrected/runs/task014-e270a185207543149c21da83202c4b73/pair_references/CAR_ATC_M3_AL24477_A0V12_HOA_EPD3.zmx,11b7f3a4f61a9c330bf15159238ba67e9b5778b3dc58063a1e409fdb0b4b7437
pair_mono_reference,task014-e270a185207543149c21da83202c4b73,CFG_ATC_M3_AL24477_A0V12_HOA_MONO_EPD5,CAR_ATC_M3_AL24477_A0V12_HOA_EPD5,CAR_ATC_M3_AL24477_A0V12_HOA,ATC_M3_AL24477,A0V12,HOA,MONO,5.0,models/task014_vertex_corrected/runs/task014-e270a185207543149c21da83202c4b73/pair_references/CAR_ATC_M3_AL24477_A0V12_HOA_EPD5.zmx,b660e01078c87b9829d9a2e18664fc624d1cbd833699714f2938526559c03dc0
