base_id,cornea_id,platform_id,pupil_mm,full_eye_pair_key,distance_component_anchored_pair_key,full_eye_mono_config_id,full_eye_mono_carrier_key,full_eye_mono_peak_defocus_d,full_eye_mono_peak_mtfa,full_eye_mono_peak_search_censored,full_eye_mono_mtfa_at_zero_d,full_eye_mono_tf_mtfa_mean,full_eye_mono_tf_mtfa_mean_original_window,full_eye_mono_near_range_max_mtfa,full_eye_mono_near_range_to_peak_ratio,full_eye_mono_dof30_d,full_eye_mono_dof30_far_censored,full_eye_mono_dof30_near_censored,full_eye_mono_dof50_d,full_eye_mono_dof50_far_censored,full_eye_mono_dof50_near_censored,full_eye_mono_dof70_d,full_eye_mono_dof70_far_censored,full_eye_mono_dof70_near_censored,distance_component_anchored_mono_config_id,distance_component_anchored_mono_carrier_key,distance_component_anchored_mono_peak_defocus_d,distance_component_anchored_mono_peak_mtfa,distance_component_anchored_mono_peak_search_censored,distance_component_anchored_mono_mtfa_at_zero_d,distance_component_anchored_mono_tf_mtfa_mean,distance_component_anchored_mono_tf_mtfa_mean_original_window,distance_component_anchored_mono_near_range_max_mtfa,distance_component_anchored_mono_near_range_to_peak_ratio,distance_component_anchored_mono_dof30_d,distance_component_anchored_mono_dof30_far_censored,distance_component_anchored_mono_dof30_near_censored,distance_component_anchored_mono_dof50_d,distance_component_anchored_mono_dof50_far_censored,distance_component_anchored_mono_dof50_near_censored,distance_component_anchored_mono_dof70_d,distance_component_anchored_mono_dof70_far_censored,distance_component_anchored_mono_dof70_near_censored,full_eye_edof_config_id,full_eye_edof_carrier_key,full_eye_edof_peak_defocus_d,full_eye_edof_peak_mtfa,full_eye_edof_peak_search_censored,full_eye_edof_mtfa_at_zero_d,full_eye_edof_tf_mtfa_mean,full_eye_edof_tf_mtfa_mean_original_window,full_eye_edof_near_range_max_mtfa,full_eye_edof_near_range_to_peak_ratio,full_eye_edof_dof30_d,full_eye_edof_dof30_far_censored,full_eye_edof_dof30_near_censored,full_eye_edof_dof50_d,full_eye_edof_dof50_far_censored,full_eye_edof_dof50_near_censored,full_eye_edof_dof70_d,full_eye_edof_dof70_far_censored,full_eye_edof_dof70_near_censored,distance_component_anchored_edof_config_id,distance_component_anchored_edof_carrier_key,distance_component_anchored_edof_peak_defocus_d,distance_component_anchored_edof_peak_mtfa,distance_component_anchored_edof_peak_search_censored,distance_component_anchored_edof_mtfa_at_zero_d,distance_component_anchored_edof_tf_mtfa_mean,distance_component_anchored_edof_tf_mtfa_mean_original_window,distance_component_anchored_edof_near_range_max_mtfa,distance_component_anchored_edof_near_range_to_peak_ratio,distance_component_anchored_edof_dof30_d,distance_component_anchored_edof_dof30_far_censored,distance_component_anchored_edof_dof30_near_censored,distance_component_anchored_edof_dof50_d,distance_component_anchored_edof_dof50_far_censored,distance_component_anchored_edof_dof50_near_censored,distance_component_anchored_edof_dof70_d,distance_component_anchored_edof_dof70_far_censored,distance_component_anchored_edof_dof70_near_censored,full_eye_delta_mtfa_at_zero_d,full_eye_delta_peak_mtfa,full_eye_delta_peak_defocus_d,full_eye_delta_tf_mtfa_mean_original_window,full_eye_delta_dof30_d,full_eye_delta_dof50_d,full_eye_delta_dof70_d,distance_component_anchored_delta_mtfa_at_zero_d,distance_component_anchored_delta_peak_mtfa,distance_component_anchored_delta_peak_defocus_d,distance_component_anchored_delta_tf_mtfa_mean_original_window,distance_component_anchored_delta_dof30_d,distance_component_anchored_delta_dof50_d,distance_component_anchored_delta_dof70_d,delta_delta_dof30_d_distance_minus_full_eye,delta_delta_dof50_d_distance_minus_full_eye,delta_delta_dof70_d_distance_minus_full_eye
LB_AL2395,C0,WFS,3.0,R6_LB_AL2395_C0_WFS_EPD3,S2_R6_LB_AL2395_C0_WFS_EPD3,R8_R6_LB_AL2395_C0_WFS_MONO_EPD3,R6_LB_AL2395_C0_WFS,0.0,0.6270917211827246,False,0.6270917211827246,0.0982516848826455,0.14195028050429695,0.07114280277500921,0.11344879922960956,0.799787134013906,False,False,0.45297338540498167,False,False,0.3156521365606523,False,False,S2_R6_LB_AL2395_C0_WFS_MONO_EPD3,S2_R6_LB_AL2395_C0_WFS,-1.0,0.08777012334277642,True,0.04180574519151581,0.1041686588594871,0.14922427966338778,0.6020767961186313,6.859700923140868,6.0,True,True,3.6991357722375757,False,False,2.63448382419194,False,False,R8_R6_LB_AL2395_C0_WFS_EDOF_EPD3,R6_LB_AL2395_C0_WFS,0.0,0.4644003633697554,False,0.4644003633697554,0.09574784443678465,0.13087439834202,0.08105856326022942,0.17454457329028966,1.3447582817454178,False,False,0.5638941001442869,False,False,0.35514204368618096,False,False,S2_R6_LB_AL2395_C0_WFS_EDOF_EPD3,S2_R6_LB_AL2395_C0_WFS,-1.0,0.1273374278150791,True,0.04994249644090122,0.10312687477032971,0.1447740218698169,0.435067340384634,3.4166493532164317,4.721203726274799,False,False,2.9993588605171655,False,False,2.2506730654067355,False,False,-0.16269135781296923,-0.16269135781296923,0.0,-0.011075882162276951,0.5449711477315118,0.1109207147393052,0.03948990712552869,0.008136751249385413,0.03956730447230267,0.0,-0.004450257793570889,-1.2787962737252014,-0.6997769117204102,-0.38381075878520443,-1.8237674214567132,-0.8106976264597154,-0.4233006659107331
LB_AL2395,C0,WFS,5.0,R6_LB_AL2395_C0_WFS_EPD5,S2_R6_LB_AL2395_C0_WFS_EPD5,R8_R6_LB_AL2395_C0_WFS_MONO_EPD5,R6_LB_AL2395_C0_WFS,0.0,0.28872366802474875,False,0.28872366802474875,0.0514465835511789,0.06439766200196242,0.02892537212361688,0.10018358495340764,0.9968641884440514,False,False,0.44136442433887263,False,False,0.2962678880906338,False,False,S2_R6_LB_AL2395_C0_WFS_MONO_EPD5,S2_R6_LB_AL2395_C0_WFS,-0.75,0.2301506714137969,False,0.05755963073393621,0.07068393517424242,0.10367098093384366,0.28636784171846413,1.2442624649292993,2.0344759553968936,False,False,0.4325760423157363,False,False,0.22528276150771043,False,False,R8_R6_LB_AL2395_C0_WFS_EDOF_EPD5,R6_LB_AL2395_C0_WFS,0.0,0.22614481698415026,False,0.22614481698415026,0.050669861783832655,0.06083561547274415,0.032665670435321,0.14444580632422999,1.5465128046927852,True,False,0.5321725385719314,False,False,0.3279165629009873,False,False,S2_R6_LB_AL2395_C0_WFS_EDOF_EPD5,S2_R6_LB_AL2395_C0_WFS,-0.75,0.23517292078954036,False,0.05243812626440161,0.06982813181531193,0.10137308291713609,0.21881778120564485,0.9304548349827574,2.0186582299739517,False,False,0.6446754989101868,False,False,0.2582321639305236,False,False,-0.06257885104059849,-0.06257885104059849,0.0,-0.0035620465292182726,0.5496486162487337,0.09080811423305873,0.031648674810353494,-0.005121504469534598,0.0050222493757434705,0.0,-0.0022978980167075724,-0.01581772542294191,0.2120994565944505,0.03294940242281319,-0.5654663416716756,0.12129134236139177,0.0013007276124596956
LB_AL2395,C0,RAD,3.0,R6_LB_AL2395_C0_RAD_EPD3,S2_R6_LB_AL2395_C0_RAD_EPD3,R8_R6_LB_AL2395_C0_RAD_MONO_EPD3,R6_LB_AL2395_C0_RAD,0.0,0.6386551280319654,False,0.6386551280319654,0.09792415047785201,0.14129416570879846,0.06727353858505343,0.10533625368727378,0.7754219617629934,False,False,0.4514656671899179,False,False,0.3134625587504398,False,False,S2_R6_LB_AL2395_C0_RAD_MONO_EPD3,S2_R6_LB_AL2395_C0_RAD,-1.0,0.0893379032153684,True,0.04319380301786747,0.10414152864701377,0.15013031984067188,0.6182690178720828,6.920567817465014,5.838299423248298,True,False,3.626954692221323,False,False,2.564286376284775,False,False,R8_R6_LB_AL2395_C0_RAD_EDOF_EPD3,R6_LB_AL2395_C0_RAD,0.25,0.29838661830616586,False,0.12982859600886842,0.08021940488129431,0.08073388476717033,0.049435079059316364,0.1656745846711948,1.2609010540643462,True,False,0.9705278257292216,True,False,0.3531975323603918,False,False,S2_R6_LB_AL2395_C0_RAD_EDOF_EPD3,S2_R6_LB_AL2395_C0_RAD,-0.875,0.29114883234532657,False,0.06357944187766428,0.08830672311512859,0.12355267698936809,0.29407319907991897,1.0100442330853103,1.7501975184634146,False,False,1.0881935938005296,False,False,0.33097284490171663,False,False,-0.508826532023097,-0.3402685097257996,0.25,-0.06056028094162813,0.4854790923013528,0.5190621585393037,0.039734973609951985,0.020385638859796808,0.20181092912995818,0.125,-0.02657764285130379,-4.0881019047848834,-2.5387610984207933,-2.2333135313830583,-4.573580997086236,-3.057823256960097,-2.2730485049930103
LB_AL2395,C0,RAD,5.0,R6_LB_AL2395_C0_RAD_EPD5,S2_R6_LB_AL2395_C0_RAD_EPD5,R8_R6_LB_AL2395_C0_RAD_MONO_EPD5,R6_LB_AL2395_C0_RAD,0.0,0.2837523927700841,False,0.2837523927700841,0.048436739302731485,0.0614614229387439,0.02663321879665766,0.09386077254417284,0.9582612443721813,False,False,0.43821750660186154,False,False,0.2945431645085195,False,False,S2_R6_LB_AL2395_C0_RAD_MONO_EPD5,S2_R6_LB_AL2395_C0_RAD,-0.5,0.22253528699907354,False,0.06157681325766657,0.0702297367923261,0.10278782715541226,0.28785493344112295,1.2935248936152823,2.186471206133737,False,False,0.40646633921911646,False,False,0.26398142038661476,False,False,R8_R6_LB_AL2395_C0_RAD_EDOF_EPD5,R6_LB_AL2395_C0_RAD,0.75,0.19647836152909104,False,0.06555242339992111,0.04335622966115496,0.03917056384399582,0.027266688482474818,0.1387770555000157,1.0489984112187072,True,False,0.8030058622890234,True,False,0.30023618990536993,False,False,S2_R6_LB_AL2395_C0_RAD_EDOF_EPD5,S2_R6_LB_AL2395_C0_RAD,-0.5,0.247898109189185,False,0.06437718616557951,0.06375987918805097,0.09088482297095911,0.1739111570294946,0.7015428943702561,1.5652005856271478,False,False,0.4262602516337862,False,False,0.23540052272036732,False,False,-0.218199969370163,-0.08727403124099309,0.75,-0.022290859094748074,0.09073716684652589,0.36478835568716184,0.00569302539685046,0.0028003729079129416,0.02536282219011146,0.0,-0.011903004184453156,-0.621270620506589,0.019793912414669768,-0.02858089766624744,-0.7120077873531149,-0.34499444327249207,-0.0342739230630979
LB_AL2395,C0,HOA,3.0,R6_LB_AL2395_C0_HOA_EPD3,S2_R6_LB_AL2395_C0_HOA_EPD3,R8_R6_LB_AL2395_C0_HOA_MONO_EPD3,R6_LB_AL2395_C0_HOA,0.0,0.558008846814209,False,0.558008846814209,0.10028584369083088,0.14271450488721993,0.07961545737315262,0.1426777690491722,1.0473716001472622,False,False,0.517023492338474,False,False,0.340314170189473,False,False,S2_R6_LB_AL2395_C0_HOA_MONO_EPD3,S2_R6_LB_AL2395_C0_HOA,-1.0,0.09908481957691989,True,0.039841261529820884,0.10511340441853617,0.14828393626606545,0.5321454665681954,5.3706053948565655,5.583568379946102,False,False,3.4475694705590296,False,False,2.5040752237657355,False,False,R8_R6_LB_AL2395_C0_HOA_EDOF_EPD3,R6_LB_AL2395_C0_HOA,-0.25,0.21679733058245787,False,0.15311131417766863,0.060811531317827315,0.07860080302323136,0.08222870721037825,0.37928837495119866,1.482218817495442,False,False,0.618094977463682,False,False,0.41356033909909146,False,False,S2_R6_LB_AL2395_C0_HOA_EDOF_EPD3,S2_R6_LB_AL2395_C0_HOA,1.0,0.06516001692096873,True,0.04705761668763327,0.06702703754593628,0.08082533051517002,0.21904779415784054,3.3616902589745976,6.0,True,True,5.624481701756129,True,False,0.743394361831188,True,False,-0.4048975326365404,-0.34121151623175117,-0.25,-0.06411370186398857,0.4348472173481799,0.10107148512520803,0.07324616890961844,0.007216355157812389,-0.03392480265595116,2.0,-0.06745860575089543,0.4164316200538982,2.1769122311970994,-1.7606808619345475,-0.01841559729428166,2.0758407460718913,-1.833927030844166
LB_AL2395,C0,HOA,5.0,R6_LB_AL2395_C0_HOA_EPD5,S2_R6_LB_AL2395_C0_HOA_EPD5,R8_R6_LB_AL2395_C0_HOA_MONO_EPD5,R6_LB_AL2395_C0_HOA,0.0,0.2918984324491209,False,0.2918984324491209,0.06482289634945075,0.07665139220938424,0.03887209321582533,0.1331699279426617,1.4861683018831975,True,False,1.1087012821898405,False,False,0.3095025576200167,False,False,S2_R6_LB_AL2395_C0_HOA_MONO_EPD5,S2_R6_LB_AL2395_C0_HOA,-1.0,0.13783072378939593,True,0.03825961410570509,0.07252287072120832,0.10593896113116723,0.2938189519579831,2.131737713334044,2.841377173288916,False,False,1.8080631598922179,False,False,1.405146487733457,False,False,R8_R6_LB_AL2395_C0_HOA_EDOF_EPD5,R6_LB_AL2395_C0_HOA,0.75,0.18853461856823797,False,0.11600741974484231,0.05023618217060118,0.05340964294519962,0.03913578921846017,0.20757879648662728,1.5120898591889786,True,False,1.3362389839726236,True,False,0.30770605201291246,False,False,S2_R6_LB_AL2395_C0_HOA_EDOF_EPD5,S2_R6_LB_AL2395_C0_HOA,-1.0,0.10669094441727012,True,0.040966036109424946,0.05868922487819345,0.0802456818153485,0.1802843190036133,1.689780889918063,4.380480322511598,True,False,1.9064800549136307,False,False,1.4222924788056894,False,False,-0.1758910127042786,-0.10336381388088292,0.75,-0.023241749264184625,0.025921557305781162,0.2275377017827831,-0.0017965056071042595,0.0027064220037198577,-0.03113977937212581,0.0,-0.02569327931581873,1.539103149222682,0.09841689502141282,0.01714599107223247,1.513181591916901,-0.12912080676137028,0.01894249667933673
ATC_M3_AL24477,C0,WFS,3.0,R6_ATC_M3_AL24477_C0_WFS_EPD3,S2_R6_ATC_M3_AL24477_C0_WFS_EPD3,R8_R6_ATC_M3_AL24477_C0_WFS_MONO_EPD3,R6_ATC_M3_AL24477_C0_WFS,0.0,0.6347517034751761,False,0.6347517034751761,0.0979757930698207,0.1414197106635262,0.06923699135987002,0.10907728326022169,0.786672214052889,False,False,0.4494814962970488,False,False,0.3137212304737508,False,False,S2_R6_ATC_M3_AL24477_C0_WFS_MONO_EPD3,S2_R6_ATC_M3_AL24477_C0_WFS,-1.0,0.0882312125648558,True,0.042518862529140035,0.10399247352641633,0.14944477232475248,0.6108861926066014,6.9236971231417614,6.0,True,True,3.6779806156713644,False,False,2.605978666586891,False,False,R8_R6_ATC_M3_AL24477_C0_WFS_EDOF_EPD3,R6_ATC_M3_AL24477_C0_WFS,0.0,0.4804699366462558,False,0.4804699366462558,0.09573570396161794,0.13123133014468638,0.07919887198704571,0.16483626954865147,1.2946673820804049,False,False,0.5402966721174356,False,False,0.34675798691603865,False,False,S2_R6_ATC_M3_AL24477_C0_WFS_EDOF_EPD3,S2_R6_ATC_M3_AL24477_C0_WFS,-1.0,0.12437083389251836,True,0.050411851240280914,0.10315055006476538,0.1453631841083046,0.4529195072975259,3.6416858609225073,4.783827730589357,False,False,3.0357546843677334,False,False,2.2520762233926854,False,False,-0.15428176682892025,-0.15428176682892025,0.0,-0.010188380518839829,0.5079951680275159,0.09081517582038678,0.03303675644228787,0.007892988711140879,0.03613962132766256,0.0,-0.0040815882164478845,-1.2161722694106434,-0.6422259313036309,-0.3539024431942055,-1.7241674374381593,-0.7330411071240177,-0.38693919963649337
ATC_M3_AL24477,C0,WFS,5.0,R6_ATC_M3_AL24477_C0_WFS_EPD5,S2_R6_ATC_M3_AL24477_C0_WFS_EPD5,R8_R6_ATC_M3_AL24477_C0_WFS_MONO_EPD5,R6_ATC_M3_AL24477_C0_WFS,0.0,0.29104322187098286,False,0.29104322187098286,0.04956395625146177,0.06273421753149241,0.027529648512711755,0.09458955386672921,0.9291186233705017,False,False,0.4318158995432825,False,False,0.281868857950333,False,False,S2_R6_ATC_M3_AL24477_C0_WFS_MONO_EPD5,S2_R6_ATC_M3_AL24477_C0_WFS,-0.625,0.23770418299197005,False,0.058951043146828544,0.07056272386576984,0.10349782780679262,0.2968837047987761,1.2489628960749304,2.0378033358868013,False,False,0.3980849504458251,False,False,0.2107129521305613,False,False,R8_R6_ATC_M3_AL24477_C0_WFS_EDOF_EPD5,R6_ATC_M3_AL24477_C0_WFS,0.0,0.23252839881981519,False,0.23252839881981519,0.049046608500236046,0.0598015242077527,0.03105438990455377,0.13355095576354795,1.4927092543795897,True,False,0.4903015168585834,False,False,0.30022806646839606,False,False,S2_R6_ATC_M3_AL24477_C0_WFS_EDOF_EPD5,S2_R6_ATC_M3_AL24477_C0_WFS,-0.625,0.2570715985833686,False,0.05411996489141392,0.06998127180660316,0.10160320575659942,0.23335329517203884,0.9077365856748354,1.994561581309714,False,False,0.3766607707787062,False,False,0.1861921324747261,False,False,-0.058514823051167675,-0.058514823051167675,0.0,-0.0029326933237397157,0.563590631009088,0.05848561731530094,0.018359208518063053,-0.0048310782554146225,0.01936741559139854,0.0,-0.0018946220501931954,-0.043241754577087343,-0.021424179667118903,-0.02452081965583519,-0.6068323855861754,-0.07990979698241985,-0.042880028173898244
ATC_M3_AL24477,C0,RAD,3.0,R6_ATC_M3_AL24477_C0_RAD_EPD3,S2_R6_ATC_M3_AL24477_C0_RAD_EPD3,R8_R6_ATC_M3_AL24477_C0_RAD_MONO_EPD3,R6_ATC_M3_AL24477_C0_RAD,0.0,0.6422762682058869,False,0.6422762682058869,0.09762177781754029,0.14057555596789845,0.06561282058402006,0.10215669460635798,0.7699568546848917,False,False,0.44980733869319905,False,False,0.31255258906908145,False,False,S2_R6_ATC_M3_AL24477_C0_RAD_MONO_EPD3,S2_R6_ATC_M3_AL24477_C0_RAD,-1.0,0.08963972161025442,True,0.04356709445336013,0.10420286130739388,0.15059865370383438,0.6158563079183492,6.870350519338268,5.781291763007588,True,False,3.6175091222520988,False,False,2.5438257525740964,False,False,R8_R6_ATC_M3_AL24477_C0_RAD_EDOF_EPD3,R6_ATC_M3_AL24477_C0_RAD,0.25,0.2994238473126095,False,0.1315790063872531,0.08009548708077495,0.08098830691669916,0.04987080326299815,0.16655588294185264,1.2595999695140896,True,False,0.9732759152147872,True,False,0.3550208417671685,False,False,S2_R6_ATC_M3_AL24477_C0_RAD_EDOF_EPD3,S2_R6_ATC_M3_AL24477_C0_RAD,-0.875,0.2782253669049987,False,0.06340478138960047,0.08798499221268587,0.12289692639565408,0.29977122111390375,1.077440293991101,1.8211074460812098,False,False,1.1105817208233186,False,False,0.33160149316370036,False,False,-0.5106972618186338,-0.3428524208932774,0.25,-0.05958724905119929,0.48964311482919787,0.5234685765215881,0.04246825269808707,0.019837686936240342,0.1885856452947443,0.125,-0.027701727308180296,-3.9601843169263784,-2.50692740142878,-2.2122242594103962,-4.449827431755576,-3.030395977950368,-2.254692512108483
ATC_M3_AL24477,C0,RAD,5.0,R6_ATC_M3_AL24477_C0_RAD_EPD5,S2_R6_ATC_M3_AL24477_C0_RAD_EPD5,R8_R6_ATC_M3_AL24477_C0_RAD_MONO_EPD5,R6_ATC_M3_AL24477_C0_RAD,0.0,0.2795929802378705,False,0.2795929802378705,0.04725317088137735,0.0602861875221798,0.025648426282752372,0.09173487210205118,0.8943395877850198,False,False,0.44256533939625875,False,False,0.29887677675757934,False,False,S2_R6_ATC_M3_AL24477_C0_RAD_MONO_EPD5,S2_R6_ATC_M3_AL24477_C0_RAD,-0.375,0.21478142209790196,False,0.06683601436064118,0.06954069010943885,0.10148223734947295,0.28740010493976187,1.3381050471337264,2.3246811899230893,False,False,0.3700941808166852,False,False,0.2705024934537787,False,False,R8_R6_ATC_M3_AL24477_C0_RAD_EDOF_EPD5,R6_ATC_M3_AL24477_C0_RAD,0.875,0.17854710686027672,False,0.06583265572683662,0.042556583664614074,0.03845299273265428,0.026998536805756635,0.15121240148060494,1.090714844108141,True,False,0.8349635636778378,True,False,0.3286227025167314,False,False,S2_R6_ATC_M3_AL24477_C0_RAD_EDOF_EPD5,S2_R6_ATC_M3_AL24477_C0_RAD,-0.375,0.246224289598699,False,0.0797894906102116,0.06438292557839889,0.0919781273867278,0.15881039905166136,0.6449826672685036,1.7292330046889788,False,False,0.44541421378850604,False,False,0.26295800099414157,False,False,-0.21376032451103388,-0.10104587337759377,0.875,-0.021833194789525515,0.19637525632312114,0.392398224281579,0.02974592575915208,0.012953476249570411,0.03144286750079703,0.0,-0.009504109962745158,-0.5954481852341105,0.07532003297182083,-0.00754449245963712,-0.7918234415572316,-0.3170781913097582,-0.0372904182187892
