config_id,pair_key,base_id,cornea_id,platform_id,pupil_mm,optic_state,defocus_d,mtf30_cpd
S2_R6_LB_AL2395_C0_WFS_MONO_EPD3,S2_R6_LB_AL2395_C0_WFS_EPD3,LB_AL2395,C0,WFS,3.0,MONO,-2.625,0.021845591191289367
S2_R6_LB_AL2395_C0_WFS_MONO_EPD3,S2_R6_LB_AL2395_C0_WFS_EPD3,LB_AL2395,C0,WFS,3.0,MONO,-2.75,0.02465755608778503
S2_R6_LB_AL2395_C0_WFS_MONO_EPD3,S2_R6_LB_AL2395_C0_WFS_EPD3,LB_AL2395,C0,WFS,3.0,MONO,-2.875,0.017516755637816763
S2_R6_LB_AL2395_C0_WFS_MONO_EPD3,S2_R6_LB_AL2395_C0_WFS_EPD3,LB_AL2395,C0,WFS,3.0,MONO,-3.0,0.01788144590662587
S2_R6_LB_AL2395_C0_WFS_MONO_EPD3,S2_R6_LB_AL2395_C0_WFS_EPD3,LB_AL2395,C0,WFS,3.0,MONO,-3.125,0.011240522439453839
S2_R6_LB_AL2395_C0_WFS_MONO_EPD3,S2_R6_LB_AL2395_C0_WFS_EPD3,LB_AL2395,C0,WFS,3.0,MONO,-3.25,0.009797453138943151
S2_R6_LB_AL2395_C0_WFS_MONO_EPD3,S2_R6_LB_AL2395_C0_WFS_EPD3,LB_AL2395,C0,WFS,3.0,MONO,-3.375,0.01103063432807858
S2_R6_LB_AL2395_C0_WFS_MONO_EPD3,S2_R6_LB_AL2395_C0_WFS_EPD3,LB_AL2395,C0,WFS,3.0,MONO,-3.5,0.007789654016564236
S2_R6_LB_AL2395_C0_WFS_MONO_EPD3,S2_R6_LB_AL2395_C0_WFS_EPD3,LB_AL2395,C0,WFS,3.0,MONO,-3.625,0.0077869861297964445
S2_R6_LB_AL2395_C0_WFS_MONO_EPD3,S2_R6_LB_AL2395_C0_WFS_EPD3,LB_AL2395,C0,WFS,3.0,MONO,-3.75,0.0037225100771165246
S2_R6_LB_AL2395_C0_WFS_MONO_EPD3,S2_R6_LB_AL2395_C0_WFS_EPD3,LB_AL2395,C0,WFS,3.0,MONO,-3.875,0.007144836930331303
S2_R6_LB_AL2395_C0_WFS_MONO_EPD3,S2_R6_LB_AL2395_C0_WFS_EPD3,LB_AL2395,C0,WFS,3.0,MONO,-4.0,0.001367758455034349
S2_R6_LB_AL2395_C0_WFS_MONO_EPD3,S2_R6_LB_AL2395_C0_WFS_EPD3,LB_AL2395,C0,WFS,3.0,MONO,-4.125,0.006868892963524051
S2_R6_LB_AL2395_C0_WFS_MONO_EPD3,S2_R6_LB_AL2395_C0_WFS_EPD3,LB_AL2395,C0,WFS,3.0,MONO,-4.25,0.00011080171397342448
S2_R6_LB_AL2395_C0_WFS_MONO_EPD3,S2_R6_LB_AL2395_C0_WFS_EPD3,LB_AL2395,C0,WFS,3.0,MONO,-4.375,0.006536024379444067
S2_R6_LB_AL2395_C0_WFS_MONO_EPD3,S2_R6_LB_AL2395_C0_WFS_EPD3,LB_AL2395,C0,WFS,3.0,MONO,-4.5,0.0002035477454699499
S2_R6_LB_AL2395_C0_WFS_MONO_EPD3,S2_R6_LB_AL2395_C0_WFS_EPD3,LB_AL2395,C0,WFS,3.0,MONO,-4.625,0.005380610743252208
S2_R6_LB_AL2395_C0_WFS_MONO_EPD3,S2_R6_LB_AL2395_C0_WFS_EPD3,LB_AL2395,C0,WFS,3.0,MONO,-4.75,0.0008125958000061244
S2_R6_LB_AL2395_C0_WFS_MONO_EPD3,S2_R6_LB_AL2395_C0_WFS_EPD3,LB_AL2395,C0,WFS,3.0,MONO,-4.875,0.004404483411872134
S2_R6_LB_AL2395_C0_WFS_MONO_EPD3,S2_R6_LB_AL2395_C0_WFS_EPD3,LB_AL2395,C0,WFS,3.0,MONO,-5.0,0.0010675891773368614
S2_R6_LB_AL2395_C0_WFS_EDOF_EPD3,S2_R6_LB_AL2395_C0_WFS_EPD3,LB_AL2395,C0,WFS,3.0,EDOF,1.0,0.0010146494716096724
S2_R6_LB_AL2395_C0_WFS_EDOF_EPD3,S2_R6_LB_AL2395_C0_WFS_EPD3,LB_AL2395,C0,WFS,3.0,EDOF,0.875,0.001516740329462706
S2_R6_LB_AL2395_C0_WFS_EDOF_EPD3,S2_R6_LB_AL2395_C0_WFS_EPD3,LB_AL2395,C0,WFS,3.0,EDOF,0.75,0.0035204070220488082
S2_R6_LB_AL2395_C0_WFS_EDOF_EPD3,S2_R6_LB_AL2395_C0_WFS_EPD3,LB_AL2395,C0,WFS,3.0,EDOF,0.625,0.001232498881499872
S2_R6_LB_AL2395_C0_WFS_EDOF_EPD3,S2_R6_LB_AL2395_C0_WFS_EPD3,LB_AL2395,C0,WFS,3.0,EDOF,0.5,0.006255495632319811
S2_R6_LB_AL2395_C0_WFS_EDOF_EPD3,S2_R6_LB_AL2395_C0_WFS_EPD3,LB_AL2395,C0,WFS,3.0,EDOF,0.375,0.006007339001976288
S2_R6_LB_AL2395_C0_WFS_EDOF_EPD3,S2_R6_LB_AL2395_C0_WFS_EPD3,LB_AL2395,C0,WFS,3.0,EDOF,0.25,0.0016975057332644778
S2_R6_LB_AL2395_C0_WFS_EDOF_EPD3,S2_R6_LB_AL2395_C0_WFS_EPD3,LB_AL2395,C0,WFS,3.0,EDOF,0.125,0.005464252804897371
S2_R6_LB_AL2395_C0_WFS_EDOF_EPD3,S2_R6_LB_AL2395_C0_WFS_EPD3,LB_AL2395,C0,WFS,3.0,EDOF,0.0,0.009551047680149258
S2_R6_LB_AL2395_C0_WFS_EDOF_EPD3,S2_R6_LB_AL2395_C0_WFS_EPD3,LB_AL2395,C0,WFS,3.0,EDOF,-0.125,0.0010728823418183974
S2_R6_LB_AL2395_C0_WFS_EDOF_EPD3,S2_R6_LB_AL2395_C0_WFS_EPD3,LB_AL2395,C0,WFS,3.0,EDOF,-0.25,0.00737992464277427
S2_R6_LB_AL2395_C0_WFS_EDOF_EPD3,S2_R6_LB_AL2395_C0_WFS_EPD3,LB_AL2395,C0,WFS,3.0,EDOF,-0.375,0.0007687178758355944
S2_R6_LB_AL2395_C0_WFS_EDOF_EPD3,S2_R6_LB_AL2395_C0_WFS_EPD3,LB_AL2395,C0,WFS,3.0,EDOF,-0.5,0.002677071141114001
