config_id,pair_key,base_id,cornea_id,platform_id,pupil_mm,optic_state,reference_config_id,common_threshold,common_dof50_width_d,common_dof50_far_censored,common_dof50_near_censored
R8_R6_LB_AL2395_B0_WFS_MONO_EPD3,R6_LB_AL2395_B0_WFS_EPD3,LB_AL2395,B0,WFS,3.0,MONO,R8_R6_LB_AL2395_N0_WFS_MONO_EPD3,0.3146374429620985,0.4473286712564334,False,False
R8_R6_LB_AL2395_B0_WFS_EDOF_EPD3,R6_LB_AL2395_B0_WFS_EPD3,LB_AL2395,B0,WFS,3.0,EDOF,R8_R6_LB_AL2395_N0_WFS_MONO_EPD3,0.3146374429620985,0.1466481006077304,False,False
R8_R6_LB_AL2395_B0_WFS_MONO_EPD5,R6_LB_AL2395_B0_WFS_EPD5,LB_AL2395,B0,WFS,5.0,MONO,R8_R6_LB_AL2395_N0_WFS_MONO_EPD5,0.1524993884644963,0.3468734230913272,False,False
R8_R6_LB_AL2395_B0_WFS_EDOF_EPD5,R6_LB_AL2395_B0_WFS_EPD5,LB_AL2395,B0,WFS,5.0,EDOF,R8_R6_LB_AL2395_N0_WFS_MONO_EPD5,0.1524993884644963,0.14919573532982794,False,False
R8_R6_LB_AL2395_B0_RAD_MONO_EPD3,R6_LB_AL2395_B0_RAD_EPD3,LB_AL2395,B0,RAD,3.0,MONO,R8_R6_LB_AL2395_N0_RAD_MONO_EPD3,0.32059485311056773,0.43968920456477595,False,False
R8_R6_LB_AL2395_B0_RAD_EDOF_EPD3,R6_LB_AL2395_B0_RAD_EPD3,LB_AL2395,B0,RAD,3.0,EDOF,R8_R6_LB_AL2395_N0_RAD_MONO_EPD3,0.32059485311056773,0.002704696586678601,False,False
R8_R6_LB_AL2395_B0_RAD_MONO_EPD5,R6_LB_AL2395_B0_RAD_EPD5,LB_AL2395,B0,RAD,5.0,MONO,R8_R6_LB_AL2395_N0_RAD_MONO_EPD5,0.20204496691139864,0.02208950706961596,False,False
R8_R6_LB_AL2395_B0_RAD_EDOF_EPD5,R6_LB_AL2395_B0_RAD_EPD5,LB_AL2395,B0,RAD,5.0,EDOF,R8_R6_LB_AL2395_N0_RAD_MONO_EPD5,0.20204496691139864,0.0,False,False
R8_R6_LB_AL2395_B0_HOA_MONO_EPD3,R6_LB_AL2395_B0_HOA_EPD3,LB_AL2395,B0,HOA,3.0,MONO,R8_R6_LB_AL2395_N0_HOA_MONO_EPD3,0.27703948490897373,0.5196943601146236,False,False
R8_R6_LB_AL2395_B0_HOA_EDOF_EPD3,R6_LB_AL2395_B0_HOA_EPD3,LB_AL2395,B0,HOA,3.0,EDOF,R8_R6_LB_AL2395_N0_HOA_MONO_EPD3,0.27703948490897373,0.0,False,False
R8_R6_LB_AL2395_B0_HOA_MONO_EPD5,R6_LB_AL2395_B0_HOA_EPD5,LB_AL2395,B0,HOA,5.0,MONO,R8_R6_LB_AL2395_N0_HOA_MONO_EPD5,0.10072910970294675,0.6228681157354672,False,False
R8_R6_LB_AL2395_B0_HOA_EDOF_EPD5,R6_LB_AL2395_B0_HOA_EPD5,LB_AL2395,B0,HOA,5.0,EDOF,R8_R6_LB_AL2395_N0_HOA_MONO_EPD5,0.10072910970294675,0.19179331368223135,False,False
R8_R6_LB_AL2395_C0_WFS_MONO_EPD3,R6_LB_AL2395_C0_WFS_EPD3,LB_AL2395,C0,WFS,3.0,MONO,R8_R6_LB_AL2395_N0_WFS_MONO_EPD3,0.3146374429620985,0.4517782057422424,False,False
R8_R6_LB_AL2395_C0_WFS_EDOF_EPD3,R6_LB_AL2395_C0_WFS_EPD3,LB_AL2395,C0,WFS,3.0,EDOF,R8_R6_LB_AL2395_N0_WFS_MONO_EPD3,0.3146374429620985,0.374799915672147,False,False
R8_R6_LB_AL2395_C0_WFS_MONO_EPD5,R6_LB_AL2395_C0_WFS_EPD5,LB_AL2395,C0,WFS,5.0,MONO,R8_R6_LB_AL2395_N0_WFS_MONO_EPD5,0.1524993884644963,0.4209170018498871,False,False
R8_R6_LB_AL2395_C0_WFS_EDOF_EPD5,R6_LB_AL2395_C0_WFS_EPD5,LB_AL2395,C0,WFS,5.0,EDOF,R8_R6_LB_AL2395_N0_WFS_MONO_EPD5,0.1524993884644963,0.3506119795881629,False,False
R8_R6_LB_AL2395_C0_RAD_MONO_EPD3,R6_LB_AL2395_C0_RAD_EPD3,LB_AL2395,C0,RAD,3.0,MONO,R8_R6_LB_AL2395_N0_RAD_MONO_EPD3,0.32059485311056773,0.4500964631651799,False,False
R8_R6_LB_AL2395_C0_RAD_EDOF_EPD3,R6_LB_AL2395_C0_RAD_EPD3,LB_AL2395,C0,RAD,3.0,EDOF,R8_R6_LB_AL2395_N0_RAD_MONO_EPD3,0.32059485311056773,0.0,False,False
R8_R6_LB_AL2395_C0_RAD_MONO_EPD5,R6_LB_AL2395_C0_RAD_EPD5,LB_AL2395,C0,RAD,5.0,MONO,R8_R6_LB_AL2395_N0_RAD_MONO_EPD5,0.20204496691139864,0.2858891255872194,False,False
R8_R6_LB_AL2395_C0_RAD_EDOF_EPD5,R6_LB_AL2395_C0_RAD_EPD5,LB_AL2395,C0,RAD,5.0,EDOF,R8_R6_LB_AL2395_N0_RAD_MONO_EPD5,0.20204496691139864,0.0,False,False
R8_R6_LB_AL2395_C0_HOA_MONO_EPD3,R6_LB_AL2395_C0_HOA_EPD3,LB_AL2395,C0,HOA,3.0,MONO,R8_R6_LB_AL2395_N0_HOA_MONO_EPD3,0.27703948490897373,0.5208604892864548,False,False
