config_id,pair_key,base_id,cornea_id,platform_id,pupil_mm,optic_state,defocus_d,mtf30_cpd
R8_R6_LB_AL2395_N0_WFS_MONO_EPD3,R6_LB_AL2395_N0_WFS_EPD3,LB_AL2395,N0,WFS,3.0,MONO,-2.75,0.0037259071172036193
R8_R6_LB_AL2395_N0_WFS_MONO_EPD3,R6_LB_AL2395_N0_WFS_EPD3,LB_AL2395,N0,WFS,3.0,MONO,-2.875,0.004139641426135073
R8_R6_LB_AL2395_N0_WFS_MONO_EPD3,R6_LB_AL2395_N0_WFS_EPD3,LB_AL2395,N0,WFS,3.0,MONO,-3.0,0.003744123374658971
R8_R6_LB_AL2395_N0_WFS_MONO_EPD3,R6_LB_AL2395_N0_WFS_EPD3,LB_AL2395,N0,WFS,3.0,MONO,-3.125,0.0031136688641147598
R8_R6_LB_AL2395_N0_WFS_MONO_EPD3,R6_LB_AL2395_N0_WFS_EPD3,LB_AL2395,N0,WFS,3.0,MONO,-3.25,0.003099545467623372
R8_R6_LB_AL2395_N0_WFS_MONO_EPD3,R6_LB_AL2395_N0_WFS_EPD3,LB_AL2395,N0,WFS,3.0,MONO,-3.375,0.0012401340892766442
R8_R6_LB_AL2395_N0_WFS_MONO_EPD3,R6_LB_AL2395_N0_WFS_EPD3,LB_AL2395,N0,WFS,3.0,MONO,-3.5,0.0034691939916463473
R8_R6_LB_AL2395_N0_WFS_MONO_EPD3,R6_LB_AL2395_N0_WFS_EPD3,LB_AL2395,N0,WFS,3.0,MONO,-3.625,0.0002559439786058647
R8_R6_LB_AL2395_N0_WFS_MONO_EPD3,R6_LB_AL2395_N0_WFS_EPD3,LB_AL2395,N0,WFS,3.0,MONO,-3.75,0.0037784913976464684
R8_R6_LB_AL2395_N0_WFS_MONO_EPD3,R6_LB_AL2395_N0_WFS_EPD3,LB_AL2395,N0,WFS,3.0,MONO,-3.875,0.0001899185663463516
R8_R6_LB_AL2395_N0_WFS_MONO_EPD3,R6_LB_AL2395_N0_WFS_EPD3,LB_AL2395,N0,WFS,3.0,MONO,-4.0,0.0031334481535583913
R8_R6_LB_AL2395_N0_WFS_MONO_EPD3,R6_LB_AL2395_N0_WFS_EPD3,LB_AL2395,N0,WFS,3.0,MONO,-4.125,0.00016264355588294435
R8_R6_LB_AL2395_N0_WFS_MONO_EPD3,R6_LB_AL2395_N0_WFS_EPD3,LB_AL2395,N0,WFS,3.0,MONO,-4.25,0.0013527216143318214
R8_R6_LB_AL2395_N0_WFS_MONO_EPD3,R6_LB_AL2395_N0_WFS_EPD3,LB_AL2395,N0,WFS,3.0,MONO,-4.375,0.001590950203468423
R8_R6_LB_AL2395_N0_WFS_MONO_EPD3,R6_LB_AL2395_N0_WFS_EPD3,LB_AL2395,N0,WFS,3.0,MONO,-4.5,0.0013440852159097181
R8_R6_LB_AL2395_N0_WFS_MONO_EPD3,R6_LB_AL2395_N0_WFS_EPD3,LB_AL2395,N0,WFS,3.0,MONO,-4.625,0.002158771867867962
R8_R6_LB_AL2395_N0_WFS_MONO_EPD3,R6_LB_AL2395_N0_WFS_EPD3,LB_AL2395,N0,WFS,3.0,MONO,-4.75,0.00119378392803652
R8_R6_LB_AL2395_N0_WFS_MONO_EPD3,R6_LB_AL2395_N0_WFS_EPD3,LB_AL2395,N0,WFS,3.0,MONO,-4.875,0.0022000751847442873
R8_R6_LB_AL2395_N0_WFS_MONO_EPD3,R6_LB_AL2395_N0_WFS_EPD3,LB_AL2395,N0,WFS,3.0,MONO,-5.0,0.0007239151178529752
R8_R6_LB_AL2395_N0_WFS_EDOF_EPD3,R6_LB_AL2395_N0_WFS_EPD3,LB_AL2395,N0,WFS,3.0,EDOF,1.0,0.031748232540226407
R8_R6_LB_AL2395_N0_WFS_EDOF_EPD3,R6_LB_AL2395_N0_WFS_EPD3,LB_AL2395,N0,WFS,3.0,EDOF,0.875,0.041866742275066586
R8_R6_LB_AL2395_N0_WFS_EDOF_EPD3,R6_LB_AL2395_N0_WFS_EPD3,LB_AL2395,N0,WFS,3.0,EDOF,0.75,0.0678753565940438
R8_R6_LB_AL2395_N0_WFS_EDOF_EPD3,R6_LB_AL2395_N0_WFS_EPD3,LB_AL2395,N0,WFS,3.0,EDOF,0.625,0.1085519901511115
R8_R6_LB_AL2395_N0_WFS_EDOF_EPD3,R6_LB_AL2395_N0_WFS_EPD3,LB_AL2395,N0,WFS,3.0,EDOF,0.5,0.11485407403344595
R8_R6_LB_AL2395_N0_WFS_EDOF_EPD3,R6_LB_AL2395_N0_WFS_EPD3,LB_AL2395,N0,WFS,3.0,EDOF,0.375,0.09413866737815751
R8_R6_LB_AL2395_N0_WFS_EDOF_EPD3,R6_LB_AL2395_N0_WFS_EPD3,LB_AL2395,N0,WFS,3.0,EDOF,0.25,0.14582959164848217
R8_R6_LB_AL2395_N0_WFS_EDOF_EPD3,R6_LB_AL2395_N0_WFS_EPD3,LB_AL2395,N0,WFS,3.0,EDOF,0.125,0.29169982330435607
R8_R6_LB_AL2395_N0_WFS_EDOF_EPD3,R6_LB_AL2395_N0_WFS_EPD3,LB_AL2395,N0,WFS,3.0,EDOF,0.0,0.36868192731767313
R8_R6_LB_AL2395_N0_WFS_EDOF_EPD3,R6_LB_AL2395_N0_WFS_EPD3,LB_AL2395,N0,WFS,3.0,EDOF,-0.125,0.23700334890319436
R8_R6_LB_AL2395_N0_WFS_EDOF_EPD3,R6_LB_AL2395_N0_WFS_EPD3,LB_AL2395,N0,WFS,3.0,EDOF,-0.25,0.01586737011943037
R8_R6_LB_AL2395_N0_WFS_EDOF_EPD3,R6_LB_AL2395_N0_WFS_EPD3,LB_AL2395,N0,WFS,3.0,EDOF,-0.375,0.061999387980083934
R8_R6_LB_AL2395_N0_WFS_EDOF_EPD3,R6_LB_AL2395_N0_WFS_EPD3,LB_AL2395,N0,WFS,3.0,EDOF,-0.5,0.02411979904721962
R8_R6_LB_AL2395_N0_WFS_EDOF_EPD3,R6_LB_AL2395_N0_WFS_EPD3,LB_AL2395,N0,WFS,3.0,EDOF,-0.625,0.0906610879762982
R8_R6_LB_AL2395_N0_WFS_EDOF_EPD3,R6_LB_AL2395_N0_WFS_EPD3,LB_AL2395,N0,WFS,3.0,EDOF,-0.75,0.049422249106343734
R8_R6_LB_AL2395_N0_WFS_EDOF_EPD3,R6_LB_AL2395_N0_WFS_EPD3,LB_AL2395,N0,WFS,3.0,EDOF,-0.875,0.002060511411699479
R8_R6_LB_AL2395_N0_WFS_EDOF_EPD3,R6_LB_AL2395_N0_WFS_EPD3,LB_AL2395,N0,WFS,3.0,EDOF,-1.0,0.008998861205633537
R8_R6_LB_AL2395_N0_WFS_EDOF_EPD3,R6_LB_AL2395_N0_WFS_EPD3,LB_AL2395,N0,WFS,3.0,EDOF,-1.125,0.02586213699424425
R8_R6_LB_AL2395_N0_WFS_EDOF_EPD3,R6_LB_AL2395_N0_WFS_EPD3,LB_AL2395,N0,WFS,3.0,EDOF,-1.25,0.0031213403606971265
R8_R6_LB_AL2395_N0_WFS_EDOF_EPD3,R6_LB_AL2395_N0_WFS_EPD3,LB_AL2395,N0,WFS,3.0,EDOF,-1.375,0.012909383471245425
R8_R6_LB_AL2395_N0_WFS_EDOF_EPD3,R6_LB_AL2395_N0_WFS_EPD3,LB_AL2395,N0,WFS,3.0,EDOF,-1.5,0.007515136664505658
R8_R6_LB_AL2395_N0_WFS_EDOF_EPD3,R6_LB_AL2395_N0_WFS_EPD3,LB_AL2395,N0,WFS,3.0,EDOF,-1.625,0.020816481645939893
R8_R6_LB_AL2395_N0_WFS_EDOF_EPD3,R6_LB_AL2395_N0_WFS_EPD3,LB_AL2395,N0,WFS,3.0,EDOF,-1.75,0.0027061515438567456
R8_R6_LB_AL2395_N0_WFS_EDOF_EPD3,R6_LB_AL2395_N0_WFS_EPD3,LB_AL2395,N0,WFS,3.0,EDOF,-1.875,0.010274683927825037
R8_R6_LB_AL2395_N0_WFS_EDOF_EPD3,R6_LB_AL2395_N0_WFS_EPD3,LB_AL2395,N0,WFS,3.0,EDOF,-2.0,4.119005694138344e-05
R8_R6_LB_AL2395_N0_WFS_EDOF_EPD3,R6_LB_AL2395_N0_WFS_EPD3,LB_AL2395,N0,WFS,3.0,EDOF,-2.125,0.004775956740848287
R8_R6_LB_AL2395_N0_WFS_EDOF_EPD3,R6_LB_AL2395_N0_WFS_EPD3,LB_AL2395,N0,WFS,3.0,EDOF,-2.25,0.005610143312539003
R8_R6_LB_AL2395_N0_WFS_EDOF_EPD3,R6_LB_AL2395_N0_WFS_EPD3,LB_AL2395,N0,WFS,3.0,EDOF,-2.375,0.006332247377246488
R8_R6_LB_AL2395_N0_WFS_EDOF_EPD3,R6_LB_AL2395_N0_WFS_EPD3,LB_AL2395,N0,WFS,3.0,EDOF,-2.5,0.0048430284837378355
R8_R6_LB_AL2395_N0_WFS_EDOF_EPD3,R6_LB_AL2395_N0_WFS_EPD3,LB_AL2395,N0,WFS,3.0,EDOF,-2.625,0.00480856416603139
R8_R6_LB_AL2395_N0_WFS_EDOF_EPD3,R6_LB_AL2395_N0_WFS_EPD3,LB_AL2395,N0,WFS,3.0,EDOF,-2.75,0.004913638621594132
R8_R6_LB_AL2395_N0_WFS_EDOF_EPD3,R6_LB_AL2395_N0_WFS_EPD3,LB_AL2395,N0,WFS,3.0,EDOF,-2.875,0.0038159232594429542
R8_R6_LB_AL2395_N0_WFS_EDOF_EPD3,R6_LB_AL2395_N0_WFS_EPD3,LB_AL2395,N0,WFS,3.0,EDOF,-3.0,0.004131953018860823
R8_R6_LB_AL2395_N0_WFS_EDOF_EPD3,R6_LB_AL2395_N0_WFS_EPD3,LB_AL2395,N0,WFS,3.0,EDOF,-3.125,0.0022471050507580563
R8_R6_LB_AL2395_N0_WFS_EDOF_EPD3,R6_LB_AL2395_N0_WFS_EPD3,LB_AL2395,N0,WFS,3.0,EDOF,-3.25,0.0034134235307528324
R8_R6_LB_AL2395_N0_WFS_EDOF_EPD3,R6_LB_AL2395_N0_WFS_EPD3,LB_AL2395,N0,WFS,3.0,EDOF,-3.375,0.00034956875791494063
R8_R6_LB_AL2395_N0_WFS_EDOF_EPD3,R6_LB_AL2395_N0_WFS_EPD3,LB_AL2395,N0,WFS,3.0,EDOF,-3.5,0.0033319867333271237
