pair_key,base_id,cornea_id,platform_id,pupil_mm,carrier_key,mono_config_id,edof_config_id,mono_peak_search_censored,edof_peak_search_censored,delta_mtfa_at_zero_d,delta_peak_mtfa,delta_tf_mtfa_mean,mono_tf_mtfa_mean_original_window,edof_tf_mtfa_mean_original_window,delta_tf_mtfa_mean_original_window,mono_dof30_d,edof_dof30_d,mono_dof30_far_censored,mono_dof30_near_censored,edof_dof30_far_censored,edof_dof30_near_censored,delta_dof30_d,mono_dof50_d,edof_dof50_d,mono_dof50_far_censored,mono_dof50_near_censored,edof_dof50_far_censored,edof_dof50_near_censored,delta_dof50_d,mono_dof70_d,edof_dof70_d,mono_dof70_far_censored,mono_dof70_near_censored,edof_dof70_far_censored,edof_dof70_near_censored,delta_dof70_d
R6_ATC_M3_AL24477_B0_WFS_EPD3,ATC_M3_AL24477,B0,WFS,3.0,R6_ATC_M3_AL24477_B0_WFS,R8_R6_ATC_M3_AL24477_B0_WFS_MONO_EPD3,R8_R6_ATC_M3_AL24477_B0_WFS_EDOF_EPD3,False,False,-0.18906057742327237,-0.18906057742327237,-0.005000220430779023,0.1434052880469612,0.1282229807642897,-0.015182307282671503,1.0999278624551634,2.0239952756203836,False,False,True,False,0.9240674131652202,0.5309385159577316,1.1189126950178345,False,False,False,False,0.587974179060103,0.3491744481389869,0.53909763785593,False,False,False,False,0.1899231897169431
R6_ATC_M3_AL24477_B0_WFS_EPD5,ATC_M3_AL24477,B0,WFS,5.0,R6_ATC_M3_AL24477_B0_WFS,R8_R6_ATC_M3_AL24477_B0_WFS_MONO_EPD5,R8_R6_ATC_M3_AL24477_B0_WFS_EDOF_EPD5,False,False,-0.06641238958740808,-0.0222619858851848,-0.0011563524707405848,0.09582667571380009,0.09144334381907712,-0.004383331894722967,2.6144395847365884,3.1650371229147605,False,False,False,False,0.550597538178172,1.5498658879921232,1.9458676553093026,False,False,False,False,0.3960017673171794,0.5111089669001241,0.6761948323374081,False,False,False,False,0.16508586543728399
R6_ATC_M3_AL24477_C0_HOA_EPD3,ATC_M3_AL24477,C0,HOA,3.0,R6_ATC_M3_AL24477_C0_HOA,R8_R6_ATC_M3_AL24477_C0_HOA_MONO_EPD3,R8_R6_ATC_M3_AL24477_C0_HOA_EDOF_EPD3,False,False,-0.41356734577524745,-0.35199551355429104,-0.03916094397427413,0.14269547607723837,0.07892930719377508,-0.06376616888346329,0.999901515718951,1.4666487646029558,False,False,False,False,0.46674724888400476,0.5057470829553472,0.6179248691300939,False,False,False,False,0.11217778617474672,0.3356539880206363,0.41721724149539247,False,False,False,False,0.08156325347475618
R6_ATC_M3_AL24477_C0_HOA_EPD5,ATC_M3_AL24477,C0,HOA,5.0,R6_ATC_M3_AL24477_C0_HOA,R8_R6_ATC_M3_AL24477_C0_HOA_MONO_EPD5,R8_R6_ATC_M3_AL24477_C0_HOA_EDOF_EPD5,False,False,-0.17233992760242706,-0.07120957972866615,-0.014135960795279338,0.07297449177608159,0.05076337931294569,-0.022211112463135903,1.4841774489123432,1.4431540224262978,True,False,True,False,-0.0410234264860454,0.4736286859289941,0.5641256892997377,False,False,True,False,0.09049700337074362,0.31703744512717735,0.2226070674910322,False,False,False,False,-0.09443037763614515
R6_ATC_M3_AL24477_C0_RAD_EPD3,ATC_M3_AL24477,C0,RAD,3.0,R6_ATC_M3_AL24477_C0_RAD,R8_R6_ATC_M3_AL24477_C0_RAD_MONO_EPD3,R8_R6_ATC_M3_AL24477_C0_RAD_EDOF_EPD3,False,False,-0.5106972618186338,-0.3428524208932774,-0.017526290736765343,0.14057555596789845,0.08098830691669916,-0.05958724905119929,0.7699568546848917,1.2595999695140896,False,False,True,False,0.48964311482919787,0.44980733869319905,0.9732759152147872,False,False,True,False,0.5234685765215881,0.31255258906908145,0.3550208417671685,False,False,False,False,0.04246825269808707
R6_ATC_M3_AL24477_C0_RAD_EPD5,ATC_M3_AL24477,C0,RAD,5.0,R6_ATC_M3_AL24477_C0_RAD,R8_R6_ATC_M3_AL24477_C0_RAD_MONO_EPD5,R8_R6_ATC_M3_AL24477_C0_RAD_EDOF_EPD5,False,False,-0.21376032451103388,-0.10104587337759377,-0.004696587216763276,0.0602861875221798,0.03845299273265428,-0.021833194789525515,0.8943395877850198,1.090714844108141,False,False,True,False,0.19637525632312114,0.44256533939625875,0.8349635636778378,False,False,True,False,0.392398224281579,0.29887677675757934,0.3286227025167314,False,False,False,False,0.02974592575915208
R6_ATC_M3_AL24477_C0_WFS_EPD3,ATC_M3_AL24477,C0,WFS,3.0,R6_ATC_M3_AL24477_C0_WFS,R8_R6_ATC_M3_AL24477_C0_WFS_MONO_EPD3,R8_R6_ATC_M3_AL24477_C0_WFS_EDOF_EPD3,False,False,-0.15428176682892025,-0.15428176682892025,-0.002240089108202753,0.1414197106635262,0.13123133014468638,-0.010188380518839829,0.786672214052889,1.2946673820804049,False,False,False,False,0.5079951680275159,0.4494814962970488,0.5402966721174356,False,False,False,False,0.09081517582038678,0.3137212304737508,0.34675798691603865,False,False,False,False,0.03303675644228787
R6_ATC_M3_AL24477_C0_WFS_EPD5,ATC_M3_AL24477,C0,WFS,5.0,R6_ATC_M3_AL24477_C0_WFS,R8_R6_ATC_M3_AL24477_C0_WFS_MONO_EPD5,R8_R6_ATC_M3_AL24477_C0_WFS_EDOF_EPD5,False,False,-0.058514823051167675,-0.058514823051167675,-0.0005173477512257219,0.06273421753149241,0.0598015242077527,-0.0029326933237397157,0.9291186233705017,1.4927092543795897,False,False,True,False,0.563590631009088,0.4318158995432825,0.4903015168585834,False,False,False,False,0.05848561731530094,0.281868857950333,0.30022806646839606,False,False,False,False,0.018359208518063053
R6_ATC_M3_AL24477_N0_HOA_EPD3,ATC_M3_AL24477,N0,HOA,3.0,R6_ATC_M3_AL24477_N0_HOA,R8_R6_ATC_M3_AL24477_N0_HOA_MONO_EPD3,R8_R6_ATC_M3_AL24477_N0_HOA_EDOF_EPD3,False,False,-0.41479305287688983,-0.3456080789019693,-0.038935390416963735,0.14295275973598473,0.07974500321919299,-0.06320775651679174,1.0100349508449742,1.4424947372850747,False,False,False,False,0.4324597864401005,0.5078020633505886,0.6386584116298162,False,False,False,False,0.13085634827922754,0.336694945590628,0.41521611280047566,False,False,False,False,0.07852116720984764
R6_ATC_M3_AL24477_N0_HOA_EPD5,ATC_M3_AL24477,N0,HOA,5.0,R6_ATC_M3_AL24477_N0_HOA,R8_R6_ATC_M3_AL24477_N0_HOA_MONO_EPD5,R8_R6_ATC_M3_AL24477_N0_HOA_EDOF_EPD5,False,False,-0.14343803009300793,-0.04162113490033445,-0.010835636021728996,0.09950800008777895,0.08130608094045147,-0.01820191914732748,2.3796551122187015,2.5614275323595614,False,False,False,False,0.18177242014085992,1.6376110758391558,1.4218393084173262,False,False,False,False,-0.21577176742182957,0.5191734789450577,0.4631054602144777,False,False,False,False,-0.05606801873058004
