run_id,config_id,pair_key,base_id,cornea_id,platform_id,optic_state,pupil_mm,defocus_retina_d,defocus_shape_d,mtfa,mtf10,mtf20,mtf30,mtf40,mtf50,mtf60
supplemental-1-b7a85f6f8dcc4ac9853c6a4771bac31d,R8_R6_LB_AL2395_N0_WFS_MONO_EPD3,R6_LB_AL2395_N0_WFS_EPD3,LB_AL2395,N0,WFS,MONO,3.0,-0.75,-0.75,0.11807770448732824,0.06793309152048971,0.022211604401744942,0.028247134339889936,0.02215457898795752,0.014820859888076693,0.011132796869842592
supplemental-1-b7a85f6f8dcc4ac9853c6a4771bac31d,R8_R6_LB_AL2395_N0_WFS_MONO_EPD3,R6_LB_AL2395_N0_WFS_EPD3,LB_AL2395,N0,WFS,MONO,3.0,-0.875,-0.875,0.10087708024245394,0.15236524526865416,0.07670502449944201,0.0292993755912826,0.001437304530349357,0.010748786390245771,0.004747774547915084
supplemental-1-b7a85f6f8dcc4ac9853c6a4771bac31d,R8_R6_LB_AL2395_N0_WFS_MONO_EPD3,R6_LB_AL2395_N0_WFS_EPD3,LB_AL2395,N0,WFS,MONO,3.0,-1.0,-1.0,0.0898625939231076,0.1605941984219058,0.03842315549221745,0.011704527832701312,0.01812800689634159,0.006375241519270685,0.006564731147015427
supplemental-1-b7a85f6f8dcc4ac9853c6a4771bac31d,R8_R6_LB_AL2395_N0_WFS_MONO_EPD3,R6_LB_AL2395_N0_WFS_EPD3,LB_AL2395,N0,WFS,MONO,3.0,-1.125,-1.125,0.07969661218464613,0.11162649419346075,0.023943819295443498,0.023133010563258123,0.005717036773269847,0.00826200333477963,0.005681449980207917
supplemental-1-b7a85f6f8dcc4ac9853c6a4771bac31d,R8_R6_LB_AL2395_N0_WFS_MONO_EPD3,R6_LB_AL2395_N0_WFS_EPD3,LB_AL2395,N0,WFS,MONO,3.0,-1.25,-1.25,0.07117149647959466,0.03635318652904861,0.03841136106070093,0.008372846591014227,0.007872701945041492,0.0038637017980589273,0.0009500335748699589
supplemental-1-b7a85f6f8dcc4ac9853c6a4771bac31d,R8_R6_LB_AL2395_N0_WFS_MONO_EPD3,R6_LB_AL2395_N0_WFS_EPD3,LB_AL2395,N0,WFS,MONO,3.0,-1.375,-1.375,0.06561545172262606,0.03326142569152741,0.004189606007152117,0.015124325317796046,0.00946946930090871,0.004410511984116693,0.006190011455248956
supplemental-1-b7a85f6f8dcc4ac9853c6a4771bac31d,R8_R6_LB_AL2395_N0_WFS_MONO_EPD3,R6_LB_AL2395_N0_WFS_EPD3,LB_AL2395,N0,WFS,MONO,3.0,-1.5,-1.5,0.06012425464045717,0.07412636069447538,0.026481915054867654,0.0022180747401324154,0.0015283612482523605,0.006339366167138373,0.0022203172091780914
supplemental-1-b7a85f6f8dcc4ac9853c6a4771bac31d,R8_R6_LB_AL2395_N0_WFS_MONO_EPD3,R6_LB_AL2395_N0_WFS_EPD3,LB_AL2395,N0,WFS,MONO,3.0,-1.625,-1.625,0.05367943798529172,0.07787685530416767,0.019020467419182552,0.013674780909478748,0.006400381944128931,0.0008928908568169035,0.0017388661272086886
supplemental-1-b7a85f6f8dcc4ac9853c6a4771bac31d,R8_R6_LB_AL2395_N0_WFS_MONO_EPD3,R6_LB_AL2395_N0_WFS_EPD3,LB_AL2395,N0,WFS,MONO,3.0,-1.75,-1.75,0.05152149118300332,0.05105688119855484,0.008780174146389893,0.001657364554736972,0.005030605801327391,0.0049270539788318,0.0035475451544720285
supplemental-1-b7a85f6f8dcc4ac9853c6a4771bac31d,R8_R6_LB_AL2395_N0_WFS_MONO_EPD3,R6_LB_AL2395_N0_WFS_EPD3,LB_AL2395,N0,WFS,MONO,3.0,-1.875,-1.875,0.04766163766911167,0.010175494472815709,0.019182226601798236,0.009391374593016597,0.004368219464406004,0.003027458504502577,0.0007589559501424064
supplemental-1-b7a85f6f8dcc4ac9853c6a4771bac31d,R8_R6_LB_AL2395_N0_WFS_MONO_EPD3,R6_LB_AL2395_N0_WFS_EPD3,LB_AL2395,N0,WFS,MONO,3.0,-2.0,-2.0,0.04423045274923645,0.026034547471095716,0.0033032853507480517,0.0010739334705059183,0.005716855656573132,0.0005846954992895307,0.0025524512967573442
supplemental-1-b7a85f6f8dcc4ac9853c6a4771bac31d,R8_R6_LB_AL2395_N0_WFS_MONO_EPD3,R6_LB_AL2395_N0_WFS_EPD3,LB_AL2395,N0,WFS,MONO,3.0,-2.125,-2.125,0.0411405606026236,0.04402767992027872,0.013945651922848452,0.00741055736079028,0.00012021579452529468,0.003300944312726302,0.0015127783715140081
supplemental-1-b7a85f6f8dcc4ac9853c6a4771bac31d,R8_R6_LB_AL2395_N0_WFS_MONO_EPD3,R6_LB_AL2395_N0_WFS_EPD3,LB_AL2395,N0,WFS,MONO,3.0,-2.25,-2.25,0.039272361691135904,0.039826519240950806,0.01058955089903443,0.002814798961179667,0.005135283320489446,0.002320760392906503,0.00023852630929531492
supplemental-1-b7a85f6f8dcc4ac9853c6a4771bac31d,R8_R6_LB_AL2395_N0_WFS_MONO_EPD3,R6_LB_AL2395_N0_WFS_EPD3,LB_AL2395,N0,WFS,MONO,3.0,-2.375,-2.375,0.03751071664790997,0.01908977325240478,0.00574084842805452,0.006109158673959982,0.001932104298437778,0.0019338056689408183,0.0022940829704455553
supplemental-1-b7a85f6f8dcc4ac9853c6a4771bac31d,R8_R6_LB_AL2395_N0_WFS_MONO_EPD3,R6_LB_AL2395_N0_WFS_EPD3,LB_AL2395,N0,WFS,MONO,3.0,-2.5,-2.5,0.03588013934272002,0.006626127404823705,0.012260645471322348,0.003930538591293183,0.0018947850986742773,0.0019267530699798357,0.0014083215514143483
supplemental-1-b7a85f6f8dcc4ac9853c6a4771bac31d,R8_R6_LB_AL2395_N0_WFS_MONO_EPD3,R6_LB_AL2395_N0_WFS_EPD3,LB_AL2395,N0,WFS,MONO,3.0,-2.625,-2.625,0.03393082132697996,0.025468625701548,0.0021666523162402872,0.005508467249095326,0.0035164054956058934,0.0011587933356183321,0.0013484050564895695
supplemental-1-b7a85f6f8dcc4ac9853c6a4771bac31d,R8_R6_LB_AL2395_N0_WFS_MONO_EPD3,R6_LB_AL2395_N0_WFS_EPD3,LB_AL2395,N0,WFS,MONO,3.0,-2.75,-2.75,0.03230299600170573,0.030272791649551024,0.009152889169439541,0.0037259071172036193,0.0006244664494950052,0.0008784147423280976,0.0019300069906194445
supplemental-1-b7a85f6f8dcc4ac9853c6a4771bac31d,R8_R6_LB_AL2395_N0_WFS_MONO_EPD3,R6_LB_AL2395_N0_WFS_EPD3,LB_AL2395,N0,WFS,MONO,3.0,-2.875,-2.875,0.03049941570831623,0.020955922054231683,0.007115833467359359,0.004139641426135073,0.0034045764373154294,0.002664848709999104,0.0002101022616181276
supplemental-1-b7a85f6f8dcc4ac9853c6a4771bac31d,R8_R6_LB_AL2395_N0_WFS_MONO_EPD3,R6_LB_AL2395_N0_WFS_EPD3,LB_AL2395,N0,WFS,MONO,3.0,-3.0,-3.0,0.027418708398477612,0.003621859674646263,0.0033382447992106935,0.003744123374658971,0.001523245921610383,0.0003379786484421467,0.0010965765867929753
