platform_id,source_power_d,q,target_sa_um,solve_achieved_sa_um,replay_achieved_sa_um,replay_error_um,zero_hoa_powp_d,candidate_powp_d,powp_delta_d,q_evaluations,actual_eye_focus_shift_mm,actual_eye_equivalent_vergence_shift_d,p_q_recheck_required,candidate_sha256
WFS,25.25866463479957,-4.0,-0.2,-0.19567416238858049,-0.19567416238858049,0.004325837611419525,47.57852095160946,47.57813272753586,-0.0003882240736032827,8,0.05613360041549598,-0.23203015806000815,True,032cfa516e4e958f1830cca7e19b74cef101409e08d93a6aa418b02c992be0c2
RAD,25.25866463479957,-6.0,-0.27,-0.26878593150022767,-0.26878593150022767,0.0012140684997723472,47.57852095160946,47.57793863937028,-0.0005823122391817037,12,0.08286666701632939,-0.3420244121002417,True,70fb68fec351c0aa81d97034fe3dcfedfaf122d067bb3fd8fb5d23c5127d9c0f
HOA,25.25866463479957,0.0,0.0,0.0,0.0,0.0,47.57852095160946,47.57852095160946,0.0,1,0.0004579828103636885,-0.0018989592684732215,False,00022cca8ba8012f8368ed04165faaa516bff6ecd4455a8fe72d275bdadce514
