pair_key,mono_config_id,edof_config_id,base_id,cornea_id,platform_id,platform_label,pupil_mm,pupil_label,delta_dof50_width_d,delta_distance_peak_mtfa,delta_mtfa_at_zero_d,delta_tf_mtfa_mean,delta_c40_um,delta_c60_um,delta_hoa_rms_um,delta_f_residual_d,dof50_effect_status,pair_dof50_censored,mono_dof50_censored,edof_dof50_censored,pair_peak_censored,mono_peak_censored,edof_peak_censored
CAR_ATC_M3_AL24477_A0_HOA_EPD3,CFG_ATC_M3_AL24477_A0_HOA_MONO_EPD3,CFG_ATC_M3_AL24477_A0_HOA_EDOF_EPD3,ATC_M3_AL24477,A0,HOA,HOA-like,3.0,EPD3,0.6308557091269695,-0.4179633982116751,-0.47554665340160057,-0.08071365447608422,-0.06671571280501903,0.17062902371423222,0.15127728588006134,-0.25,exact,False,False,False,False,False,False
CAR_ATC_M3_AL24477_A0_HOA_EPD5,CFG_ATC_M3_AL24477_A0_HOA_MONO_EPD5,CFG_ATC_M3_AL24477_A0_HOA_EDOF_EPD5,ATC_M3_AL24477,A0,HOA,HOA-like,5.0,EPD5,-0.2346416220756129,-0.03482282071815493,-0.1699643938182575,-0.023816671004670054,-0.0023715849794276045,0.015157293069846842,-0.001591321377014565,-0.5,exact,False,False,False,True,False,True
CAR_ATC_M3_AL24477_A0_RAD_EPD3,CFG_ATC_M3_AL24477_A0_RAD_MONO_EPD3,CFG_ATC_M3_AL24477_A0_RAD_EDOF_EPD3,ATC_M3_AL24477,A0,RAD,RAD-like,3.0,EPD3,0.1678735500973234,-0.28268057109392647,-0.28268057109392647,-0.015864899932450105,0.004101592519314261,-0.09134667319239152,0.08499840329816571,0.0,exact,False,False,False,False,False,False
CAR_ATC_M3_AL24477_A0_RAD_EPD5,CFG_ATC_M3_AL24477_A0_RAD_MONO_EPD5,CFG_ATC_M3_AL24477_A0_RAD_EDOF_EPD5,ATC_M3_AL24477,A0,RAD,RAD-like,5.0,EPD5,0.10191919768211255,-0.10498096113135358,-0.05780066768744735,-0.013708038977464684,-0.12878375658708474,0.06373146511837785,0.011218770242804765,0.25,exact,False,False,False,False,False,False
CAR_ATC_M3_AL24477_A0_WFS_EPD3,CFG_ATC_M3_AL24477_A0_WFS_MONO_EPD3,CFG_ATC_M3_AL24477_A0_WFS_EDOF_EPD3,ATC_M3_AL24477,A0,WFS,WFS-like,3.0,EPD3,0.19163346635787137,-0.1653601745765862,-0.1653601745765862,-0.013914307399189862,0.032093637302881735,-0.01747332009030272,0.03534415806300849,0.0,exact,False,False,False,False,False,False
CAR_ATC_M3_AL24477_A0_WFS_EPD5,CFG_ATC_M3_AL24477_A0_WFS_MONO_EPD5,CFG_ATC_M3_AL24477_A0_WFS_EDOF_EPD5,ATC_M3_AL24477,A0,WFS,WFS-like,5.0,EPD5,0.04136088177246333,-0.014379413899989868,-0.0689246125042951,-0.007971192191484955,0.002037274060565017,-0.009447355304161964,0.0020719838898910214,0.0,exact,False,False,False,False,False,False
CAR_ATC_M3_AL24477_B0_HOA_EPD3,CFG_ATC_M3_AL24477_B0_HOA_MONO_EPD3,CFG_ATC_M3_AL24477_B0_HOA_EDOF_EPD3,ATC_M3_AL24477,B0,HOA,HOA-like,3.0,EPD3,0.7251819261205884,-0.37777742001090675,-0.43730770660888524,-0.0791345752078969,-0.06680503625689271,0.17099825546680392,0.1351549103998859,-0.25,exact,False,False,False,False,False,False
CAR_ATC_M3_AL24477_B0_HOA_EPD5,CFG_ATC_M3_AL24477_B0_HOA_MONO_EPD5,CFG_ATC_M3_AL24477_B0_HOA_EDOF_EPD5,ATC_M3_AL24477,B0,HOA,HOA-like,5.0,EPD5,-0.2650453457974222,-0.06166946327209419,-0.1417136839929393,-0.02252054694738391,-0.002322149671572349,0.015206997574400288,-0.0018621455061116343,-0.5,exact,False,False,False,True,False,True
CAR_ATC_M3_AL24477_B0_RAD_EPD3,CFG_ATC_M3_AL24477_B0_RAD_MONO_EPD3,CFG_ATC_M3_AL24477_B0_RAD_EDOF_EPD3,ATC_M3_AL24477,B0,RAD,RAD-like,3.0,EPD3,0.21271142556195788,-0.2703528821175821,-0.2703528821175821,-0.018882915724187016,0.004734464222567757,-0.09118875949406613,0.07431294937113497,0.0,exact,False,False,False,False,False,False
CAR_ATC_M3_AL24477_B0_RAD_EPD5,CFG_ATC_M3_AL24477_B0_RAD_MONO_EPD5,CFG_ATC_M3_AL24477_B0_RAD_EDOF_EPD5,ATC_M3_AL24477,B0,RAD,RAD-like,5.0,EPD5,0.13632474353124313,-0.0461808680155725,-0.058324382346952613,-0.01027915486243687,-0.12876170927545103,0.063597056032597,-0.09206873574965324,-0.25,exact,False,False,False,True,False,True
