config_id,pair_key,state,sampling,defocus_retina_d,defocus_shape_d,mtfa,mtf10,mtf20,mtf30,mtf40,mtf50,mtf60
CFG_LB_AL2395_A0_WFS_MONO_EPD3,CAR_LB_AL2395_A0_WFS_EPD3,MONO,128,0.5,0.5,0.15887508244737872,0.371655731653571,0.02322766637463427,0.02631537259621223,0.021500537397411514,0.017145136815082954,0.018150963081938455
CFG_LB_AL2395_A0_WFS_MONO_EPD3,CAR_LB_AL2395_A0_WFS_EPD3,MONO,128,0.25,0.25,0.3522438363237764,0.6942664508696371,0.41496710798719516,0.24847626674725182,0.1485373564178223,0.08954395956071898,0.05885740105082618
CFG_LB_AL2395_A0_WFS_MONO_EPD3,CAR_LB_AL2395_A0_WFS_EPD3,MONO,128,0.0,0.0,0.5951293217726991,0.8530749779312721,0.7111432166826881,0.5791122862839675,0.45901754044957827,0.34940384526246454,0.24411737313180404
CFG_LB_AL2395_A0_WFS_MONO_EPD3,CAR_LB_AL2395_A0_WFS_EPD3,MONO,128,-0.25,-0.25,0.31323150130590766,0.7264386386586059,0.36114332719954373,0.13709553000298647,0.06351652169625403,0.06251134014747405,0.08363944007395062
CFG_LB_AL2395_A0_WFS_MONO_EPD3,CAR_LB_AL2395_A0_WFS_EPD3,MONO,128,-0.5,-0.5,0.17232847030832651,0.3795174938138382,0.08875811684286485,0.07390683882963855,0.017734460645838376,0.009359265715096097,0.0161880394644609
CFG_LB_AL2395_A0_WFS_MONO_EPD3,CAR_LB_AL2395_A0_WFS_EPD3,MONO,128,-0.75,-0.75,0.12807613445135022,0.02383816944604916,0.0513095092340199,0.054112477152249205,0.022755582731563903,0.014382509333358919,0.017071691494881653
CFG_LB_AL2395_A0_WFS_MONO_EPD3,CAR_LB_AL2395_A0_WFS_EPD3,MONO,128,-1.0,-1.0,0.09642003380305822,0.1482572675283084,0.0681409800947672,0.021685417833989015,0.011484845001816141,0.006426842929525254,0.007179500525626279
CFG_LB_AL2395_A0_WFS_MONO_EPD3,CAR_LB_AL2395_A0_WFS_EPD3,MONO,128,-1.25,-1.25,0.07836894200464926,0.10804219565087497,0.012103929564903795,0.011597927785070766,0.011173377219851333,0.007056780000499662,0.0059657402178637815
CFG_LB_AL2395_A0_WFS_MONO_EPD3,CAR_LB_AL2395_A0_WFS_EPD3,MONO,128,-1.5,-1.5,0.06507354355416191,0.01553200727587866,0.019323145976045376,0.0007868993238086817,0.007461449019002389,0.0036278456969979543,0.0023456328150091082
CFG_LB_AL2395_A0_WFS_MONO_EPD3,CAR_LB_AL2395_A0_WFS_EPD3,MONO,128,-1.75,-1.75,0.05578283219641499,0.07554292690337287,0.02554092890311028,0.002055088025103003,0.006090925743935598,0.005119259053279631,0.0001509767139536114
CFG_LB_AL2395_A0_WFS_MONO_EPD3,CAR_LB_AL2395_A0_WFS_EPD3,MONO,128,-2.0,-2.0,0.04885610626579525,0.03650064577560796,0.009000535542995791,0.006719014918027439,0.00504247985334878,0.00398080154454087,0.0014278622872393712
CFG_LB_AL2395_A0_WFS_MONO_EPD3,CAR_LB_AL2395_A0_WFS_EPD3,MONO,128,-2.25,-2.25,0.04323780842014644,0.027073752309902843,0.006219367396605727,0.005355430919401923,0.005676023053526411,0.003113341593255375,0.002153980050244132
CFG_LB_AL2395_A0_WFS_MONO_EPD3,CAR_LB_AL2395_A0_WFS_EPD3,MONO,128,-2.5,-2.5,0.03895368752771477,0.03803684499599861,0.013508649667459537,0.006595705383136218,0.00429789538598574,0.003084584301561686,0.0018517370556643297
CFG_LB_AL2395_A0_WFS_MONO_EPD3,CAR_LB_AL2395_A0_WFS_EPD3,MONO,128,-2.75,-2.75,0.03538274493595149,0.00021375666924798277,0.009034017408868668,0.006383427332885463,0.0034324371012658976,0.0023039933200915564,0.0022653037047348098
CFG_LB_AL2395_A0_WFS_MONO_EPD3,CAR_LB_AL2395_A0_WFS_EPD3,MONO,128,-3.0,-3.0,0.03241906639043509,0.028387803365594197,0.0008570129257390675,0.006156968144695221,0.003055345745298648,0.0017181709075043217,0.0013819589794659293
CFG_LB_AL2395_A0_WFS_EDOF_EPD3,CAR_LB_AL2395_A0_WFS_EPD3,EDOF,128,0.5,0.5,0.18673242427689019,0.28977651770479806,0.19976602401853538,0.08596435944703629,0.03098013771174077,0.006338680366186903,0.051153816744431896
CFG_LB_AL2395_A0_WFS_EDOF_EPD3,CAR_LB_AL2395_A0_WFS_EPD3,EDOF,128,0.25,0.25,0.30660395779836375,0.5158515458409391,0.2962001519560983,0.24856092417572406,0.16583565275912124,0.10802940062164818,0.022425736852777545
